,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,German,Spanish,French
0,2023,spring,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc,https://cdn.myanimelist.net/images/anime/1765/135099.jpg,鬼滅の刃 刀鍛冶の里編,Demon Slayer,TV,11,Finished Airing,"Apr 9, 2023 to Jun 18, 2023",Spring 2023,Sundays at 23,"Aniplex,       Shueisha",Aniplex of America,ufotable,Manga,"ActionAction,         SupernaturalSupernatural",HistoricalHistorical,ShounenShounen,28 min. per ep.,R - 17+ (violence & profanity),"8.191 (scored by 566254566,254 users)
      


1
          indicates a weighted score.","#4082

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#187,"957,084","9,555",,,,,,
1,2023,spring,[Oshi no Ko],,https://cdn.myanimelist.net/images/anime/1812/134736.jpg,【推しの子】,[Oshi No Ko],TV,11,Finished Airing,"Apr 12, 2023 to Jun 28, 2023",Spring 2023,Wednesdays at 23,"Delfi Sound,       Shueisha,       CyberAgent,       Kadokawa",Sentai Filmworks,Doga Kobo,Manga,"Award WinningAward Winning,         DramaDrama",,SeinenSeinen,30 min. per ep.,PG-13 - Teens 13 or older,"8.591 (scored by 543512543,512 users)
      


1
          indicates a weighted score.","#1032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#198,"922,442","30,208",My Star,"ReincarnationReincarnation,         ShowbizShowbiz",,,,
2,2023,spring,Jigokuraku,Hell's Paradise,https://cdn.myanimelist.net/images/anime/1075/131925.jpg,地獄楽,Hell's Paradise,TV,13,Finished Airing,"Apr 1, 2023 to Jul 1, 2023",Spring 2023,Saturdays at 23,Twin Engine,Crunchyroll,MAPPA,Manga,"ActionAction,         AdventureAdventure,         SupernaturalSupernatural",,ShounenShounen,24 min. per ep.,R - 17+ (violence & profanity),"8.091 (scored by 426563426,563 users)
      


1
          indicates a weighted score.","#5302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#258,"794,047","8,651","Paradition, Heavenhell","GoreGore,         HistoricalHistorical,         SamuraiSamurai",,,,
3,2023,spring,Mashle,Mashle: Magic and Muscles,https://cdn.myanimelist.net/images/anime/1218/135107.jpg,マッシュル-MASHLE-,Mashle,TV,12,Finished Airing,"Apr 8, 2023 to Jul 1, 2023",Spring 2023,Saturdays at 00,"Aniplex,       Asatsu DK,       Shueisha,       INSPION Edge",Aniplex of America,A-1 Pictures,Manga,"ActionAction,         ComedyComedy,         FantasyFantasy",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.621 (scored by 372385372,385 users)
      


1
          indicates a weighted score.","#15162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#328,"674,737","4,360",,"Gag HumorGag Humor,         ParodyParody,         SchoolSchool",,,,
4,2023,spring,Tengoku Daimakyou,Heavenly Delusion,https://cdn.myanimelist.net/images/anime/1121/133132.jpg,天国大魔境,Heavenly Delusion,TV,13,Finished Airing,"Apr 1, 2023 to Jun 24, 2023",Spring 2023,Saturdays at 22,"Mainichi Broadcasting System,       Kodansha,       NBCUniversal Entertainment Japan,       Avex Pictures,       NetEase","None found, add some",Production I.G,Manga,"AdventureAdventure,         MysteryMystery,         Sci-FiSci-Fi",,SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity),"8.211 (scored by 254645254,645 users)
      


1
          indicates a weighted score.","#3822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#428,"552,208","6,732",,,,,,
5,2023,spring,Dr. Stone: New World,,https://cdn.myanimelist.net/images/anime/1316/136268.jpg,Dr.STONE NEW WORLD,,TV,11,Finished Airing,"Apr 6, 2023 to Jun 15, 2023",Spring 2023,Thursdays at 22,"TOHO animation,       Shueisha",Crunchyroll,TMS Entertainment,Manga,"AdventureAdventure,         ComedyComedy,         Sci-FiSci-Fi",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.151 (scored by 237635237,635 users)
      


1
          indicates a weighted score.","#4612

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#454,"522,103","3,215",Dr. Stone 3rd Season,,,,,
6,2023,spring,Yamada-kun to Lv999 no Koi wo Suru,My Love Story with Yamada-kun at Lv999,https://cdn.myanimelist.net/images/anime/1298/134178.jpg,山田くんとLv999の恋をする,My Love Story with Yamada-kun at Lv999,TV,13,Finished Airing,"Apr 2, 2023 to Jun 25, 2023",Spring 2023,Sundays at 00,"Aniplex,       Movic,       Tokyo MX,       BS11,       Egg Firm,       Kadokawa,       COMICSMART",Aniplex of America,Madhouse,Web manga,,Video GameVideo Game,,23 min. per ep.,PG-13 - Teens 13 or older,"7.781 (scored by 244086244,086 users)
      


1
          indicates a weighted score.","#10832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#508,"471,330","4,763",Loving Yamada at Lv999,,RomanceRomance,,,
7,2023,spring,Boku no Kokoro no Yabai Yatsu,The Dangers in My Heart,https://cdn.myanimelist.net/images/anime/1545/133887.jpg,僕の心のヤバイやつ,The Dangers in My Heart,TV,12,Finished Airing,"Apr 2, 2023 to Jun 18, 2023",Spring 2023,Sundays at 01,"Dentsu,       TV Asahi,       Movic,       Magic Capsule,       Avex Pictures,       Akita Shoten,       BS Asahi,       TV Asahi Music",Sentai Filmworks,Shin-Ei Animation,Manga,"ComedyComedy,         RomanceRomance",SchoolSchool,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.231 (scored by 188156188,156 users)
      


1
          indicates a weighted score.","#3632

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#683,"369,377","5,473",Bokuyaba,,,,,
8,2023,spring,Kono Subarashii Sekai ni Bakuen wo!,KonoSuba: An Explosion on This Wonderful World!,https://cdn.myanimelist.net/images/anime/1626/135844.jpg,この素晴らしい世界に爆焔を！,KonoSuba,TV,12,Finished Airing,"Apr 6, 2023 to Jun 22, 2023",Spring 2023,Thursdays at 01,"Half H.P Studio,       Nippon Columbia,       Atelier Musa,       81 Produce,       Sammy,       Kadokawa",Crunchyroll,Drive,Light novel,"ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.501 (scored by 148051148,051 users)
      


1
          indicates a weighted score.","#19742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#715,"355,873","1,917",,,,,,
9,2023,spring,"Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",https://cdn.myanimelist.net/images/anime/1316/134327.jpg,異世界でチート能力を手にした俺は、現実世界をも無双する ～レベルアップは人生を変えた～,"I Got a Cheat Skill in Another World and Became Unrivaled in The Real World, Too",TV,13,Finished Airing,"Apr 7, 2023 to Jun 30, 2023",Spring 2023,Fridays at 00,"TMS Entertainment,       Tokyo MX,       BS11,       Kadokawa,       CTW",Crunchyroll,Millepensee,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"6.341 (scored by 180908180,908 users)
      


1
          indicates a weighted score.","#80702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#745,"341,762","2,251",Iseleve,"IsekaiIsekai,         SchoolSchool",,,,
