year;season;jp_title;img;Japanese;Episodes;Starting;Ending;Producers;Studios;Source;Age Rating;Rating Score;Rating Score Num;Reviewers;Rating Score Rank;Popularity Rank;Members;Favorites
2024;spring;Shinigami Bocchan to Kuro Maid 3rd Season;https://cdn.myanimelist.net/images/anime/1988/142714.jpg;死神坊ちゃんと黒メイド 第3期;12;7 Apr 2024;23 Jun 2024;Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment, NBCUniversal Entertainment Japan, BS11, Shogakukan, Yomiuri TV Enterprise, Bandai Spirits;J.C.Staff;Web manga;PG-13 - Teens 13 or older;8.141;8.141;2187021870;"4662

2
 ";3047;58655;246
2022;spring;Paripi Koumei;https://cdn.myanimelist.net/images/anime/1970/122297.jpg;パリピ孔明;12;5 Apr 2022;21 Jun 2022;Mainichi Broadcasting System, Kodansha, Avex Pictures, DMM pictures, Bit grooove promotion;P.A. Works;Web manga;PG-13 - Teens 13 or older;8.121;8.121;151816151816;"4922

2
 ";823;313648;2611
2022;fall;Golden Kamuy 4th Season;https://cdn.myanimelist.net/images/anime/1855/128059.jpg;ゴールデンカムイ;13;3 Oct 2022;26 Jun 2023;NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine;Brain's Base;Manga;R - 17+ (violence & profanity);8.121;8.121;3923539235;"4952

2
 ";2117;106764;618
2023;winter;Golden Kamuy 4th Season;https://cdn.myanimelist.net/images/anime/1855/128059.jpg;ゴールデンカムイ;13;3 Oct 2022;26 Jun 2023;NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine;Brain's Base;Manga;R - 17+ (violence & profanity);8.121;8.121;3923539235;"4952

2
 ";2117;106764;618
2023;spring;Skip to Loafer;https://cdn.myanimelist.net/images/anime/1518/138730.jpg;スキップとローファー;12;4 Apr 2023;20 Jun 2023;Kodansha, Kansai Telecasting, Crunchyroll, A-Sketch, DMM pictures, DMM Music, NetEase;P.A. Works;Manga;PG-13 - Teens 13 or older;8.121;8.121;140331140331;"4992

2
 ";870;302493;3513
2023;spring;Golden Kamuy 4th Season;https://cdn.myanimelist.net/images/anime/1855/128059.jpg;ゴールデンカムイ;13;3 Oct 2022;26 Jun 2023;NBCUniversal Entertainment Japan, Tokyo MX, Good Smile Company, Sammy, Shueisha, JR East Marketing & Communications, Twin Engine;Brain's Base;Manga;R - 17+ (violence & profanity);8.121;8.121;3924339243;"4952

2
 ";2117;106775;618
2023;winter;Buddy Daddies;https://cdn.myanimelist.net/images/anime/1553/133767.jpg;Buddy Daddies;12;7 Jan 2023;1 Apr 2023;Aniplex, Movic, Nitroplus, Tokyo MX, Nagoya Broadcasting Network, BS11, Bit grooove promotion;P.A. Works;Original;PG-13 - Teens 13 or older;8.111;8.111;139708139708;"5142

2
 ";832;311852;3315
2024;spring;Kimetsu no Yaiba: Hashira Geiko-hen;https://cdn.myanimelist.net/images/anime/1565/142711.jpg;鬼滅の刃 柱稽古編;8;12 May 2024;30 Jun 2024;Aniplex, Shueisha;ufotable;Manga;R - 17+ (violence & profanity);8.111;8.111;315582315582;"5042

2
 ";391;592307;4579
2024;spring;Ookami to Koushinryou: Merchant Meets the Wise Wolf;https://cdn.myanimelist.net/images/anime/1059/142414.jpg;狼と香辛料 MERCHANT MEETS THE WISE WOLF;25;2 Apr 2024;24 Sep 2024;TV Tokyo, Movic, TOHO animation, Good Smile Company, Kadokawa, Enishiya, Hayabusa Film;Passione;Light novel;PG-13 - Teens 13 or older;8.111;8.111;6865168651;"5112

2
 ";1139;227869;1823
2024;summer;Ookami to Koushinryou: Merchant Meets the Wise Wolf;https://cdn.myanimelist.net/images/anime/1059/142414.jpg;狼と香辛料 MERCHANT MEETS THE WISE WOLF;25;2 Apr 2024;24 Sep 2024;TV Tokyo, Movic, TOHO animation, Good Smile Company, Kadokawa, Enishiya, Hayabusa Film;Passione;Light novel;PG-13 - Teens 13 or older;8.111;8.111;6865168651;"5112

2
 ";1139;227907;1823
