year;season;jp_title;img;Japanese;Episodes;Starting;Ending;Producers;Studios;Source;Age Rating;Rating Score;Rating Score Num;Reviewers;Rating Score Rank;Popularity Rank;Members;Favorites
2022;fall;Bocchi the Rock!;https://cdn.myanimelist.net/images/anime/1448/127956.jpg;ぼっち・ざ・ろっく！;12;9 Oct 2022;25 Dec 2022;Aniplex, Houbunsha;CloverWorks;4-koma manga;PG-13 - Teens 13 or older;8.761;8.761;403108403108;"422

2
 ";336;668923;32085
2023;summer;Jujutsu Kaisen 2nd Season;https://cdn.myanimelist.net/images/anime/1792/138022.jpg;呪術廻戦 懐玉・玉折／渋谷事変;23;6 Jul 2023;28 Dec 2023;Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap;MAPPA;Manga;R - 17+ (violence & profanity);8.761;8.761;643665643665;"442

2
 ";138;1144117;24010
2023;fall;Jujutsu Kaisen 2nd Season;https://cdn.myanimelist.net/images/anime/1792/138022.jpg;呪術廻戦 懐玉・玉折／渋谷事変;23;6 Jul 2023;28 Dec 2023;Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap;MAPPA;Manga;R - 17+ (violence & profanity);8.761;8.761;643665643665;"442

2
 ";138;1144117;24010
2024;winter;Boku no Kokoro no Yabai Yatsu 2nd Season;https://cdn.myanimelist.net/images/anime/1643/138581.jpg;僕の心のヤバイやつ 第2期;13;7 Jan 2024;31 Mar 2024;Dentsu, TV Asahi, Movic, Magic Capsule, Avex Pictures, Akita Shoten, BS Asahi, TV Asahi Music;Shin-Ei Animation;Manga;PG-13 - Teens 13 or older;8.761;8.761;136217136217;"432

2
 ";1047;245958;5330
2021;winter;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14167831416783;"502

2
 ";17;2491944;234234
2021;spring;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14167841416784;"502

2
 ";17;2491944;234234
2021;summer;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14167901416790;"502

2
 ";17;2491944;234235
2021;fall;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14167921416792;"502

2
 ";17;2491961;234235
2022;winter;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168001416800;"502

2
 ";17;2491961;234238
2022;spring;Kingdom 4th Season;https://cdn.myanimelist.net/images/anime/1566/122794.jpg;キングダム 第4シリーズ;26;10 Apr 2022;2 Oct 2022;Avex Pictures, Shueisha, NHK Enterprises;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.731;8.731;3212732127;"492

2
 ";2690;73407;1109
2022;spring;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168051416805;"502

2
 ";17;2491977;234238
2022;summer;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168051416805;"502

2
 ";17;2491977;234238
2022;summer;Kingdom 4th Season;https://cdn.myanimelist.net/images/anime/1566/122794.jpg;キングダム 第4シリーズ;26;10 Apr 2022;2 Oct 2022;Avex Pictures, Shueisha, NHK Enterprises;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.731;8.731;3212732127;"492

2
 ";2690;73407;1109
2022;fall;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168121416812;"502

2
 ";17;2491977;234239
2023;winter;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168131416813;"502

2
 ";17;2491987;234239
2023;spring;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168171416817;"502

2
 ";17;2491987;234239
2023;summer;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168181416818;"502

2
 ";17;2491987;234239
2023;fall;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168221416822;"502

2
 ";17;2491998;234240
2024;winter;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168241416824;"502

2
 ";17;2491998;234241
2024;spring;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168281416828;"502

2
 ";17;2492012;234241
2024;summer;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168301416830;"502

2
 ";17;2492012;234243
2024;fall;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.731;14168311416831;"502

2
 ";17;2492012;234243
2022;winter;Kimetsu no Yaiba: Yuukaku-hen;https://cdn.myanimelist.net/images/anime/1908/120036.jpg;鬼滅の刃 遊郭編;11;5 Dec 2021;13 Feb 2022;Aniplex, Studio Mausu, Shueisha;ufotable;Manga;R - 17+ (violence & profanity);8.721;8.721;998408998408;"542

2
 ";77;1566872;24847
2024;winter;Kingdom 5th Season;https://cdn.myanimelist.net/images/anime/1050/139641.jpg;キングダム 第5シリーズ;13;14 Jan 2024;31 Mar 2024;Avex Pictures, Shueisha, Jinnan Studio, NHK Enterprises;Pierrot, Studio Signpost;Manga;R - 17+ (violence & profanity);8.721;8.721;1942119421;"552

2
 ";3486;45745;521
2024;spring;Hibike! Euphonium 3;https://cdn.myanimelist.net/images/anime/1216/142086.jpg;響け！ユーフォニアム3;13;7 Apr 2024;30 Jun 2024;Lantis, Pony Canyon, Rakuonsha, ABC Animation, Heart Company, Bandai Namco Music Live;Kyoto Animation;Novel;PG-13 - Teens 13 or older;8.721;8.721;2974829748;"532

2
 ";2532;81091;1518
2021;fall;86 Part 2;https://cdn.myanimelist.net/images/anime/1321/117508.jpg;86―エイティシックス―;12;3 Oct 2021;19 Mar 2022;Aniplex, Kadokawa, Bandai Spirits;A-1 Pictures;Light novel;R - 17+ (violence & profanity);8.711;8.711;321749321749;"582

2
 ";423;561012;16574
2022;winter;86 Part 2;https://cdn.myanimelist.net/images/anime/1321/117508.jpg;86―エイティシックス―;12;3 Oct 2021;19 Mar 2022;Aniplex, Kadokawa, Bandai Spirits;A-1 Pictures;Light novel;R - 17+ (violence & profanity);8.711;8.711;321749321749;"582

2
 ";423;561012;16575
2022;fall;Mob Psycho 100 III;https://cdn.myanimelist.net/images/anime/1228/125011.jpg;モブサイコ100 III;12;6 Oct 2022;22 Dec 2022;Shogakukan-Shueisha Productions, Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan;Bones;Web manga;PG-13 - Teens 13 or older;8.711;8.711;380680380680;"572

2
 ";277;760243;11403
2023;summer;Bleach: Sennen Kessen-hen - Ketsubetsu-tan;https://cdn.myanimelist.net/images/anime/1164/138058.jpg;BLEACH 千年血戦篇-訣別譚-;13;8 Jul 2023;30 Sep 2023;TV Tokyo, Aniplex, Dentsu, Shueisha, Zack Promotion;Pierrot;Manga;R - 17+ (violence & profanity);8.701;8.701;187612187612;"592

2
 ";753;340207;4739
2024;fall;Bleach: Sennen Kessen-hen - Soukoku-tan;https://cdn.myanimelist.net/images/anime/1595/144074.jpg;BLEACH 千年血戦篇-相剋譚-;14;5 Oct 2024;28 Dec 2024;Pierrot, TV Tokyo, Aniplex, Dentsu, Shueisha, Zack Promotion;Pierrot Films;Manga;R - 17+ (violence & profanity);8.691;8.691;9584095840;"642

2
 ";1218;211807;3036
2024;fall;Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season;https://cdn.myanimelist.net/images/anime/1706/144725.jpg;Re;16;2 Oct 2024;Unknown;AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa, DAXEL;White Fox;Light novel;R - 17+ (violence & profanity);8.661;8.661;6931369313;"742

2
 ";713;357069;4905
2021;spring;Odd Taxi;https://cdn.myanimelist.net/images/anime/1981/113348.jpg;オッドタクシー;13;6 Apr 2021;29 Jun 2021;TV Tokyo, Dentsu, Pony Canyon, AT-X, Crunchyroll, Pony Canyon Enterprises, Mimoid, Yoshimoto Kogyo;OLM, P.I.C.S.;Original;PG-13 - Teens 13 or older;8.651;8.651;230957230957;"782

2
 ";515;466997;8716
2021;fall;Mushoku Tensei: Isekai Ittara Honki Dasu Part 2;https://cdn.myanimelist.net/images/anime/1028/117777.jpg;無職転生 ～異世界行ったら本気だす～ 第2クール;12;4 Oct 2021;20 Dec 2021;Frontier Works, TOHO, TOHO animation, Tokyo MX, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment;Studio Bind;Light novel;R - 17+ (violence & profanity);8.641;8.641;636950636950;"802

2
 ";165;1016877;18964
2023;summer;Bungou Stray Dogs 5th Season;https://cdn.myanimelist.net/images/anime/1161/136691.jpg;文豪ストレイドッグス;11;12 Jul 2023;20 Sep 2023;WOWOW, Lantis, Movic, Glovision, Crunchyroll, Sunrise Music, Kadokawa, Sony Music Solutions, Bandai Namco Music Live;Bones;Manga;R - 17+ (violence & profanity);8.631;8.631;9964599645;"862

2
 ";1189;218127;2665
2022;summer;Made in Abyss: Retsujitsu no Ougonkyou;https://cdn.myanimelist.net/images/anime/1864/122519.jpg;メイドインアビス 烈日の黄金郷;12;6 Jul 2022;28 Sep 2022;AT-X, Takeshobo, Kadokawa Media House, Cygames, Kadokawa, Global Solutions, Sony Music Solutions, IRMA LA DOUCE;Kinema Citrus;Web manga;R - 17+ (violence & profanity);8.611;8.611;228165228165;"932

2
 ";489;487733;6505
2024;winter;Dungeon Meshi;https://cdn.myanimelist.net/images/anime/1711/142478.jpg;ダンジョン飯;24;4 Jan 2024;13 Jun 2024;Ultra Super Pictures, Good Smile Company, Tencent Japan, Kadokawa;Trigger;Manga;R - 17+ (violence & profanity);8.611;8.611;217419217419;"962

2
 ";541;446989;8841
2024;spring;Dungeon Meshi;https://cdn.myanimelist.net/images/anime/1711/142478.jpg;ダンジョン飯;24;4 Jan 2024;13 Jun 2024;Ultra Super Pictures, Good Smile Company, Tencent Japan, Kadokawa;Trigger;Manga;R - 17+ (violence & profanity);8.611;8.611;217419217419;"962

2
 ";541;446989;8841
2023;spring;[Oshi no Ko];https://cdn.myanimelist.net/images/anime/1812/134736.jpg;【推しの子】;11;12 Apr 2023;28 Jun 2023;Delfi Sound, Shueisha, CyberAgent, Kadokawa;Doga Kobo;Manga;PG-13 - Teens 13 or older;8.591;8.591;543512543512;"1032

2
 ";198;922442;30208
2024;summer;[Oshi no Ko] 2nd Season;https://cdn.myanimelist.net/images/anime/1006/143302.jpg;【推しの子】第2期;13;3 Jul 2024;6 Oct 2024;Delfi Sound, Shueisha, CyberAgent, Kadokawa;Doga Kobo;Manga;PG-13 - Teens 13 or older;8.591;8.591;182119182119;"1042

2
 ";587;417865;5509
2024;fall;Natsume Yuujinchou Shichi;https://cdn.myanimelist.net/images/anime/1270/145168.jpg;夏目友人帳 漆;12;8 Oct 2024;24 Dec 2024;TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Ai Addiction;Shuka;Manga;PG-13 - Teens 13 or older;8.591;8.591;1130311303;"992

2
 ";3531;44815;444
2021;winter;Jujutsu Kaisen;https://cdn.myanimelist.net/images/anime/1171/109222.jpg;呪術廻戦;24;3 Oct 2020;27 Mar 2021;Mainichi Broadcasting System, TOHO animation, Shueisha, dugout, Sumzap;MAPPA;Manga;R - 17+ (violence & profanity);8.561;8.561;18097841809784;"1102

2
 ";13;2755845;93161
2024;fall;Dandadan;https://cdn.myanimelist.net/images/anime/1584/143719.jpg;ダンダダン;12;4 Oct 2024;20 Dec 2024;Aniplex, Dentsu, Shogakukan-Shueisha Productions, Mainichi Broadcasting System, Shueisha;Science SARU;Manga;R - 17+ (violence & profanity);8.561;8.561;352589352589;"1092

2
 ";353;647718;10030
2021;winter;Yuru Camp△ Season 2;https://cdn.myanimelist.net/images/anime/1255/110636.jpg;ゆるキャン△ SEASON2;13;7 Jan 2021;1 Apr 2021;Half H.P Studio, MAGES., DeNA;C-Station;Manga;PG-13 - Teens 13 or older;8.501;8.501;105254105254;"1452

2
 ";1091;238832;3105
2021;fall;Ousama Ranking;https://cdn.myanimelist.net/images/anime/1347/117616.jpg;王様ランキング;23;15 Oct 2021;25 Mar 2022;Aniplex, Dentsu, Fuji TV, Kadokawa, Bandai Spirits;Wit Studio;Web manga;PG-13 - Teens 13 or older;8.501;8.501;366943366943;"1432

2
 ";314;696160;13233
2022;winter;Ousama Ranking;https://cdn.myanimelist.net/images/anime/1347/117616.jpg;王様ランキング;23;15 Oct 2021;25 Mar 2022;Aniplex, Dentsu, Fuji TV, Kadokawa, Bandai Spirits;Wit Studio;Web manga;PG-13 - Teens 13 or older;8.501;8.501;366943366943;"1432

2
 ";314;696160;13234
2022;spring;Spy x Family;https://cdn.myanimelist.net/images/anime/1441/122795.jpg;SPY×FAMILY;12;9 Apr 2022;25 Jun 2022;TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shueisha;Wit Studio, CloverWorks;Manga;PG-13 - Teens 13 or older;8.471;8.471;10474361047436;"1532

2
 ";61;1706259;40064
2022;spring;Summertime Render;https://cdn.myanimelist.net/images/anime/1120/120796.jpg;サマータイムレンダ;25;15 Apr 2022;30 Sep 2022;Shogakukan-Shueisha Productions, Movic, MAGES., Tokyo MX, Shueisha, Toy's Factory, Bandai Spirits;OLM;Manga;R - 17+ (violence & profanity);8.471;8.471;251268251268;"1542

2
 ";389;596940;10140
2022;summer;Summertime Render;https://cdn.myanimelist.net/images/anime/1120/120796.jpg;サマータイムレンダ;25;15 Apr 2022;30 Sep 2022;Shogakukan-Shueisha Productions, Movic, MAGES., Tokyo MX, Shueisha, Toy's Factory, Bandai Spirits;OLM;Manga;R - 17+ (violence & profanity);8.471;8.471;251268251268;"1542

2
 ";389;596940;10140
2022;fall;Chainsaw Man;https://cdn.myanimelist.net/images/anime/1806/126216.jpg;チェンソーマン;12;12 Oct 2022;28 Dec 2022;dugout;MAPPA;Manga;R - 17+ (violence & profanity);8.461;8.461;956205956205;"1582

2
 ";62;1693354;49930
2024;fall;Chi. Chikyuu no Undou ni Tsuite;https://cdn.myanimelist.net/images/anime/1749/145922.jpg;チ。―地球の運動について―;25;5 Oct 2024;Unknown;Shogakukan-Shueisha Productions, Shogakukan, NHK Enterprises, SKY Perfect Pictures;Madhouse;Manga;R - 17+ (violence & profanity);8.461;8.461;2400624006;"1592

2
 ";1727;140158;1405
2021;winter;Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;https://cdn.myanimelist.net/images/anime/1724/117421.jpg;Re：ゼロから始める異世界生活;12;6 Jan 2021;24 Mar 2021;AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa;White Fox;Light novel;R - 17+ (violence & profanity);8.431;8.431;568780568780;"1802

2
 ";183;969121;13012
2023;winter;Bungou Stray Dogs 4th Season;https://cdn.myanimelist.net/images/anime/1263/132759.jpg;文豪ストレイドッグス;13;4 Jan 2023;29 Mar 2023;WOWOW, Lantis, Movic, Glovision, Crunchyroll, Kadokawa, Sony Music Solutions, Bandai Namco Music Live;Bones;Manga;R - 17+ (violence & profanity);8.431;8.431;128423128423;"1762

2
 ";798;322579;3345
2024;spring;Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2;https://cdn.myanimelist.net/images/anime/1876/141251.jpg;無職転生 II ～異世界行ったら本気だす～ (第2クール);12;8 Apr 2024;1 Jul 2024;Frontier Works, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE Entertainment;Studio Bind;Light novel;R - 17+ (violence & profanity);8.431;8.431;255606255606;"1792

2
 ";512;467612;4011
2021;spring;Vivy: Fluorite Eye's Song;https://cdn.myanimelist.net/images/anime/1551/128960.jpg;Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-);13;3 Apr 2021;19 Jun 2021;Aniplex;Wit Studio;Original;R - 17+ (violence & profanity);8.391;8.391;256981256981;"2052

2
 ";412;570600;11140
2024;spring;Girls Band Cry;https://cdn.myanimelist.net/images/anime/1711/140515.jpg;ガールズバンドクライ;13;6 Apr 2024;29 Jun 2024;agehasprings;Toei Animation;Original;PG-13 - Teens 13 or older;8.391;8.391;3898638986;"2032

2
 ";2163;103528;2297
2022;winter;Karakai Jouzu no Takagi-san 3;https://cdn.myanimelist.net/images/anime/1861/120361.jpg;からかい上手の高木さん3;12;8 Jan 2022;26 Mar 2022;Shogakukan-Shueisha Productions, Magic Capsule, Asmik Ace, TOHO animation, Shogakukan, Toho Music;Shin-Ei Animation;Manga;PG-13 - Teens 13 or older;8.381;8.381;8952189521;"2092

2
 ";1286;198524;2345
2021;winter;Mushoku Tensei: Isekai Ittara Honki Dasu;https://cdn.myanimelist.net/images/anime/1530/117776.jpg;無職転生 ～異世界行ったら本気だす～;11;11 Jan 2021;22 Mar 2021;Frontier Works, TOHO, Magic Capsule, TOHO animation, Hakuhodo DY Music & Pictures, BS11, Egg Firm, Kadokawa, GREE, Toho Music;Studio Bind;Light novel;R - 17+ (violence & profanity);8.361;8.361;887680887680;"2272

2
 ";95;1438841;36751
2021;winter;Tensei shitara Slime Datta Ken 2nd Season;https://cdn.myanimelist.net/images/anime/1271/109841.jpg;転生したらスライムだった件;12;12 Jan 2021;30 Mar 2021;Kodansha;8bit;Manga;PG-13 - Teens 13 or older;8.361;8.361;598595598595;"2312

2
 ";161;1033610;10879
2021;winter;Non Non Biyori Nonstop;https://cdn.myanimelist.net/images/anime/1033/111540.jpg;のんのんびより のんすとっぷ;12;11 Jan 2021;29 Mar 2021;TV Tokyo, Lantis, AT-X, Kadokawa, Bandai Namco Arts, Bit grooove promotion, Sony Music Solutions;SILVER LINK.;Manga;PG-13 - Teens 13 or older;8.361;8.361;5058450584;"2282

2
 ";1819;131268;959
2024;spring;Kono Subarashii Sekai ni Shukufuku wo! 3;https://cdn.myanimelist.net/images/anime/1758/141268.jpg;この素晴らしい世界に祝福を！3;11;10 Apr 2024;19 Jun 2024;Half H.P Studio, Nippon Columbia, 81 Produce, Sammy, Kadokawa;Drive;Light novel;PG-13 - Teens 13 or older;8.361;8.361;186555186555;"2262

2
 ";501;475601;5324
2021;fall;Kimetsu no Yaiba: Mugen Ressha-hen;https://cdn.myanimelist.net/images/anime/1065/118763.jpg;鬼滅の刃 無限列車編;7;10 Oct 2021;28 Nov 2021;Aniplex, Shueisha;ufotable;Manga;R - 17+ (violence & profanity);8.351;8.351;514157514157;"2372

2
 ";228;854437;4457
2021;spring;Fumetsu no Anata e;https://cdn.myanimelist.net/images/anime/1880/118484.jpg;不滅のあなたへ;20;12 Apr 2021;30 Aug 2021;NHK, Kodansha, NHK Enterprises;Brain's Base;Manga;R - 17+ (violence & profanity);8.341;8.341;390320390320;"2442

2
 ";199;922273;15100
2021;summer;Fumetsu no Anata e;https://cdn.myanimelist.net/images/anime/1880/118484.jpg;不滅のあなたへ;20;12 Apr 2021;30 Aug 2021;NHK, Kodansha, NHK Enterprises;Brain's Base;Manga;R - 17+ (violence & profanity);8.341;8.341;390320390320;"2442

2
 ";199;922273;15100
2022;fall;IDOLiSH7 Third Beat! Part 2;https://cdn.myanimelist.net/images/anime/1458/125998.jpg;アイドリッシュセブン;17;2 Oct 2022;26 Feb 2023;None found, add some;TROYCA;Game;PG-13 - Teens 13 or older;8.341;8.341;52145214;"2452

2
 ";5615;15810;262
2023;winter;IDOLiSH7 Third Beat! Part 2;https://cdn.myanimelist.net/images/anime/1458/125998.jpg;アイドリッシュセブン;17;2 Oct 2022;26 Feb 2023;None found, add some;TROYCA;Game;PG-13 - Teens 13 or older;8.341;8.341;52145214;"2452

2
 ";5615;15810;262
2021;spring;86;https://cdn.myanimelist.net/images/anime/1987/117507.jpg;86―エイティシックス―;11;11 Apr 2021;20 Jun 2021;Aniplex, Kadokawa, Bandai Spirits;A-1 Pictures;Light novel;R - 17+ (violence & profanity);8.321;8.321;446396446396;"2582

2
 ";224;860299;23174
2023;fall;Dr. Stone: New World Part 2;https://cdn.myanimelist.net/images/anime/1236/138696.jpg;Dr.STONE NEW WORLD;11;12 Oct 2023;21 Dec 2023;TOHO animation, Shueisha;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.321;8.321;174505174505;"2612

2
 ";747;341318;1502
2021;summer;Tensei shitara Slime Datta Ken 2nd Season Part 2;https://cdn.myanimelist.net/images/anime/1033/118296.jpg;転生したらスライムだった件;12;6 Jul 2021;21 Sep 2021;Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions;8bit;Manga;PG-13 - Teens 13 or older;8.311;8.311;482445482445;"2692

2
 ";240;835843;10975
2023;fall;Kage no Jitsuryokusha ni Naritakute! 2nd Season;https://cdn.myanimelist.net/images/anime/1938/138295.jpg;陰の実力者になりたくて！ 2nd Season;12;4 Oct 2023;20 Dec 2023;AT-X, Magic Capsule, BS NTV, Kadokawa, NewGin, Aiming;Nexus;Light novel;R - 17+ (violence & profanity);8.311;8.311;242438242438;"2712

2
 ";543;446320;4840
2024;spring;Kaijuu 8-gou;https://cdn.myanimelist.net/images/anime/1370/140362.jpg;怪獣8号;12;13 Apr 2024;29 Jun 2024;TV Tokyo, Khara, Nippon Columbia, TOHO animation, Shueisha, Sonilude, Toho Music;Production I.G;Manga;PG-13 - Teens 13 or older;8.301;8.301;304231304231;"2762

2
 ";429;551507;5412
2021;spring;Yuukoku no Moriarty Part 2;https://cdn.myanimelist.net/images/anime/1200/111522.jpg;憂国のモリアーティ;13;4 Apr 2021;27 Jun 2021;Mainichi Broadcasting System, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, Bandai Spirits;Production I.G;Manga;R - 17+ (violence & profanity);8.281;8.281;125968125968;"3022

2
 ";954;270556;3217
2024;winter;Ore dake Level Up na Ken;https://cdn.myanimelist.net/images/anime/1801/142390.jpg;俺だけレベルアップな件;12;7 Jan 2024;31 Mar 2024;Aniplex, Crunchyroll, Netmarble, Kakao piccoma, D&C Media;A-1 Pictures;Web manga;R - 17+ (violence & profanity);8.281;8.281;506651506651;"3062

2
 ";216;871735;16301
2024;fall;Ao no Hako;https://cdn.myanimelist.net/images/anime/1496/147108.jpg;アオのハコ;25;3 Oct 2024;Unknown;TBS, Magic Capsule, TOHO animation, Shueisha, TMS Music, Unlimited Produce by TMS;Telecom Animation Film;Manga;PG-13 - Teens 13 or older;8.281;8.281;4405244052;"2972

2
 ";1238;208011;2166
2024;fall;Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season;https://cdn.myanimelist.net/images/anime/1996/147601.jpg;シャングリラ・フロンティア～クソゲーハンター、神ゲーに挑まんとす～ 2nd season;25;13 Oct 2024;Unknown;Dentsu, Mainichi Broadcasting System, Kodansha, Sammy, Crunchyroll, Tencent Games, Netmarble;C2C;Manga;PG-13 - Teens 13 or older;8.271;8.271;3045130451;"3152

2
 ";1559;161001;886
2022;fall;Kage no Jitsuryokusha ni Naritakute!;https://cdn.myanimelist.net/images/anime/1091/128729.jpg;陰の実力者になりたくて！;20;5 Oct 2022;15 Feb 2023;AT-X, BS NTV, Kadokawa, NewGin, Aiming;Nexus;Light novel;R - 17+ (violence & profanity);8.261;8.261;400533400533;"3252

2
 ";287;749738;16637
2023;winter;Kage no Jitsuryokusha ni Naritakute!;https://cdn.myanimelist.net/images/anime/1091/128729.jpg;陰の実力者になりたくて！;20;5 Oct 2022;15 Feb 2023;AT-X, BS NTV, Kadokawa, NewGin, Aiming;Nexus;Light novel;R - 17+ (violence & profanity);8.261;8.261;400533400533;"3252

2
 ";287;749894;16638
2021;fall;World Trigger 3rd Season;https://cdn.myanimelist.net/images/anime/1617/117474.jpg;ワールドトリガー;14;10 Oct 2021;23 Jan 2022;TV Asahi;Toei Animation;Manga;PG-13 - Teens 13 or older;8.251;8.251;4961749617;"3352

2
 ";1849;128481;1216
2023;winter;Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen;https://cdn.myanimelist.net/images/anime/1476/128693.jpg;ダンジョンに出会いを求めるのは間違っているだろうかⅣ深章 厄災篇;11;7 Jan 2023;18 Mar 2023;Genco, Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative;J.C.Staff;Light novel;R - 17+ (violence & profanity);8.251;8.251;134792134792;"3292

2
 ";1009;257455;1751
2022;fall;Boku no Hero Academia 6th Season;https://cdn.myanimelist.net/images/anime/1483/126005.jpg;僕のヒーローアカデミア;25;1 Oct 2022;25 Mar 2023;Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha;Bones;Manga;PG-13 - Teens 13 or older;8.241;8.241;357725357725;"3462

2
 ";293;722368;7277
2023;winter;Boku no Hero Academia 6th Season;https://cdn.myanimelist.net/images/anime/1483/126005.jpg;僕のヒーローアカデミア;25;1 Oct 2022;25 Mar 2023;Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha;Bones;Manga;PG-13 - Teens 13 or older;8.241;8.241;357725357725;"3462

2
 ";293;722368;7278
2023;summer;BanG Dream! It's MyGO!!!!!;https://cdn.myanimelist.net/images/anime/1891/136948.jpg;バンドリ！It's MyGO!!!!!;13;29 Jun 2023;14 Sep 2023;Ultra Super Pictures, Bushiroad, Tokyo MX, Good Smile Company, Bushiroad Music, HoriPro International, Ace Crew Entertainment;SANZIGEN;Mixed media;PG-13 - Teens 13 or older;8.241;8.241;1379213792;"3452

2
 ";4306;29928;788
