year,season,jp_title,img,Japanese,Episodes,Starting,Ending,Producers,Studios,Main Studio,Source,Age Rating,Rating Score,Reviewers,Rating Score Rank,Popularity Rank,Members,Favorites,Status
2024,summer,Sasayaku You ni Koi wo Utau,https://cdn.myanimelist.net/images/anime/1455/141858.jpg,ささやくように恋を唄う,12,14 Apr 2024,29 Dec 2024,"TV Asahi, NBCUniversal Entertainment Japan, Yomiuri TV Enterprise, Contents Seed, Ichijinsha, Live Viewing Japan, Bit grooove promotion, BS Asahi","Yokohama Animation Laboratory, Cloud Hearts",Yokohama Animation Laboratory,Manga,PG-13 - Teens 13 or older,6.67,1925419254.0,6062,2408.0,87634,781,Good
2024,summer,Madougushi Dahliya wa Utsumukanai,https://cdn.myanimelist.net/images/anime/1572/144060.jpg,魔導具師ダリヤはうつむかない,12,6 Jul 2024,21 Sep 2024,"Frontier Works, Mainichi Broadcasting System, TBS, AT-X, Good Smile Company, Crunchyroll, Kadokawa, arma bianca, Bandai Namco Music Live","Typhoon Graphics, Imagica Infos",Typhoon Graphics,Light novel,PG-13 - Teens 13 or older,6.8,2575525755.0,5324,2790.0,69089,175,Good
2022,spring,Date A Live IV,https://cdn.myanimelist.net/images/anime/1368/121281.jpg,デート・ア・ライブⅣ,12,8 Apr 2022,24 Jun 2022,"AT-X, Nippon Columbia, Docomo Anime Store, Kadokawa Media House, Kadokawa",Geek Toys,Geek Toys,Light novel,R - 17+ (violence & profanity),7.75,9650996509.0,1169,948.0,271439,3431,Good
2024,fall,Sasayaku You ni Koi wo Utau,https://cdn.myanimelist.net/images/anime/1455/141858.jpg,ささやくように恋を唄う,12,14 Apr 2024,29 Dec 2024,"TV Asahi, NBCUniversal Entertainment Japan, Yomiuri TV Enterprise, Contents Seed, Ichijinsha, Live Viewing Japan, Bit grooove promotion, BS Asahi","Yokohama Animation Laboratory, Cloud Hearts",Yokohama Animation Laboratory,Manga,PG-13 - Teens 13 or older,6.67,1925419254.0,6062,2408.0,87634,781,Good
2021,summer,Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,https://cdn.myanimelist.net/images/anime/1787/115817.jpg,チート薬師のスローライフ～異世界に作ろうドラッグストア～,12,7 Jul 2021,22 Sep 2021,"Studio Mausu, BS11, Crunchyroll, Yomiuri TV Enterprise, NichiNare, Live Viewing Japan, Bandai Namco Arts, Video Market, MediaNet Pictures, Tohjak, Hifumi Shobo",EMT Squared,EMT Squared,Light novel,PG-13 - Teens 13 or older,6.45,6030760307.0,7371,1600.0,155721,623,Good
2021,fall,Sakugan,https://cdn.myanimelist.net/images/anime/1431/118413.jpg,サクガン,12,7 Oct 2021,23 Dec 2021,"VAP, Sotsu, Mainichi Broadcasting System, Bandai, Asmik Ace, Tohokushinsha Film Corporation, Sammy, DeNA, Nippon Cultural Broadcasting, Bandai Namco Arts, Bandai Spirits, NetEase, Fosun Entertainment Japan",Satelight,Satelight,Novel,PG-13 - Teens 13 or older,6.51,3338833388.0,7044,2148.0,104922,274,Good
2023,spring,Ao no Orchestra,https://cdn.myanimelist.net/images/anime/1832/133754.jpg,青のオーケストラ,24,9 Apr 2023,8 Oct 2023,"NHK, NHK Enterprises",Nippon Animation,Nippon Animation,Web manga,PG-13 - Teens 13 or older,7.16,1698316983.0,3575,2927.0,63080,272,Good
2021,winter,I★Chu: Halfway Through the Idol,https://cdn.myanimelist.net/images/anime/1212/113946.jpg,アイ★チュウ HALFWAY THROUGH THE IDOL,12,6 Jan 2021,24 Mar 2021,"Half H.P Studio, Twin Engine",Lay-duce,Lay-duce,Game,PG-13 - Teens 13 or older,6.56,53385338.0,6725,5399.0,17562,119,Medium
2024,fall,Kamierabi 2nd Season,https://cdn.myanimelist.net/images/anime/1475/145570.jpg,カミエラビ GOD.app,12,3 Oct 2024,19 Dec 2024,"Dentsu, Fuji TV, KlockWorx, Tokyopop, Slow Curve, BS Fuji, Crunchyroll",Unend,Unend,Original,PG-13 - Teens 13 or older,6.21,20162016.0,8794,7579.0,7479,18,Medium
2022,spring,Digimon Ghost Game,https://cdn.myanimelist.net/images/anime/1907/118797.jpg,デジモンゴーストゲーム,67,3 Oct 2021,26 Mar 2023,"Yomiko Advertising, Fuji TV",Toei Animation,Toei Animation,Other,PG-13 - Teens 13 or older,6.74,72627262.0,5670,4694.0,24779,165,Medium
2022,summer,Shine Post,https://cdn.myanimelist.net/images/anime/1976/123710.jpg,シャインポスト,12,13 Jul 2022,19 Oct 2022,"Nippon Television Network, Avex Pictures, Docomo Anime Store, Konami Digital Entertainment, Contents Seed, BS NTV, Straight Edge, Culture Entertainment, Stray Cats, ADK Emotions",Studio Kai,Studio Kai,Mixed media,PG-13 - Teens 13 or older,7.49,80028002.0,2008,4479.0,27668,124,Medium
2021,winter,Soukou Musume Senki,https://cdn.myanimelist.net/images/anime/1532/110186.jpg,装甲娘戦機,12,7 Jan 2021,25 Mar 2021,DMM Music,Studio A-CAT,Studio A-CAT,Game,PG-13 - Teens 13 or older,5.78,47584758.0,11042,5525.0,16519,37,Medium
2022,spring,Shenmue the Animation,https://cdn.myanimelist.net/images/anime/1427/120586.jpg,シェンムー,13,6 Feb 2022,1 May 2022,Wave Master,Telecom Animation Film,Telecom Animation Film,Game,R - 17+ (violence & profanity),6.64,74607460.0,6225,4797.0,23509,153,Medium
2024,fall,Kinoko Inu,https://cdn.myanimelist.net/images/anime/1954/144622.jpg,きのこいぬ,12,3 Oct 2024,19 Dec 2024,"AT-X, Tokuma Shoten, KlockWorx, 81 Produce, Universal Music Japan, BS11, ABC Animation, FuRyu",C-Station,C-Station,Manga,PG-13 - Teens 13 or older,6.9,26432643.0,4842,7456.0,7787,22,Medium
2022,summer,Musashino!,https://cdn.myanimelist.net/images/anime/1541/126462.jpg,むさしの！,12,2 Jul 2022,17 Sep 2022,Harappa,A-Real,A-Real,Original,PG - Children,4.66,19771977.0,13536,6561.0,10663,14,Medium
2021,winter,WIXOSS Diva(A)Live,https://cdn.myanimelist.net/images/anime/1779/110807.jpg,WIXOSS DIVA(A)LIVE（ウィクロス ディーヴァアライブ）,12,9 Jan 2021,27 Mar 2021,"None found, add some",J.C.Staff,J.C.Staff,Card game,PG-13 - Teens 13 or older,5.6,33933393.0,11812,6410.0,11296,20,Medium
2022,spring,Cue!,https://cdn.myanimelist.net/images/anime/1039/120173.jpg,CUE!,24,8 Jan 2022,25 Jun 2022,"Pony Canyon, APDREAM, Liber Entertainment","Yumeta Company, Graphinica",Yumeta Company,Game,PG-13 - Teens 13 or older,6.78,78767876.0,5425,4539.0,26904,148,Medium
2022,winter,Cue!,https://cdn.myanimelist.net/images/anime/1039/120173.jpg,CUE!,24,8 Jan 2022,25 Jun 2022,"Pony Canyon, APDREAM, Liber Entertainment","Yumeta Company, Graphinica",Yumeta Company,Game,PG-13 - Teens 13 or older,6.78,78767876.0,5425,4539.0,26904,148,Medium
2024,winter,Pon no Michi,https://cdn.myanimelist.net/images/anime/1070/138961.jpg,ぽんのみち,12,6 Jan 2024,23 Mar 2024,"Mainichi Broadcasting System, Kodansha, Good Smile Company, DMM.com, Myrica Music, AQUA ARIS, Bit grooove promotion, SUPA LOVE, Yostar, Sankyo",OLM,OLM,Original,PG-13 - Teens 13 or older,6.47,82828282.0,7270,4091.0,33554,138,Medium
2024,winter,Yuuki Bakuhatsu Bang Bravern,https://cdn.myanimelist.net/images/anime/1872/140863.jpg,勇気爆発バーンブレイバーン,12,11 Jan 2024,28 Mar 2024,"Shochiku, TBS, Good Smile Company, Fields, Cygames, Tencent Japan, dugout, Happinet Media Marketing",CygamesPictures,CygamesPictures,Original,PG-13 - Teens 13 or older,7.56,97409740.0,1729,4195.0,31528,211,Medium
2021,winter,Idolls!,https://cdn.myanimelist.net/images/anime/1886/119199.jpg,アイドールズ!,10,8 Jan 2021,12 Mar 2021,"81 Produce, RAY, Stray Cats, BS Asahi",Shin-Ei Animation,Shin-Ei Animation,Original,PG-13 - Teens 13 or older,5.07,23542354.0,13123,8646.0,5448,12,Medium
2024,fall,Houkago Shounen Hanako-kun Part 2,https://cdn.myanimelist.net/images/anime/1910/144517.jpg,放課後少年花子くん 続編,4,8 Oct 2024,29 Oct 2024,"Square Enix, Pony Canyon, Half H.P Studio, Studio Tronc",Lerche,Lerche,Web manga,PG-13 - Teens 13 or older,7.04,87528752.0,4213,3981.0,35272,127,Medium
2024,fall,Puniru wa Kawaii Slime,https://cdn.myanimelist.net/images/anime/1681/145175.jpg,ぷにるはかわいいスライム,12,6 Oct 2024,22 Dec 2024,"TV Tokyo, Shogakukan-Shueisha Productions, TOHO animation, Shogakukan",TOHO animation STUDIO,TOHO animation STUDIO,Manga,PG-13 - Teens 13 or older,6.96,34553455.0,4579,6634.0,10416,45,Medium
2021,summer,D_Cide Traumerei the Animation,https://cdn.myanimelist.net/images/anime/1635/117200.jpg,D_CIDE TRAUMEREI（ディーサイドトロイメライ）,13,10 Jul 2021,2 Oct 2021,"Bushiroad, Bit grooove promotion",SANZIGEN,SANZIGEN,Mixed media,PG-13 - Teens 13 or older,5.81,66856685.0,10897,4637.0,25511,107,Medium
2023,winter,Mou Ippon!,https://cdn.myanimelist.net/images/anime/1039/131684.jpg,もういっぽん！,13,9 Jan 2023,3 Apr 2023,"TV Tokyo, Pony Canyon, Akita Shoten, MAGNET, CHOCOLATE, Three S Studio",Bakken Record,Bakken Record,Manga,PG-13 - Teens 13 or older,7.09,84188418.0,3946,4682.0,24981,53,Medium
2023,fall,Bullbuster,https://cdn.myanimelist.net/images/anime/1074/138192.jpg,ブルバスター,12,4 Oct 2023,20 Dec 2023,"AT-X, Tokyo MX, Sammy, Kansai Telecasting, BS NTV, Kadokawa, P.I.C.S.",Nut,Nut,Mixed media,PG-13 - Teens 13 or older,6.18,41104110.0,8923,5957.0,13572,23,Medium
2022,summer,Cardfight!! Vanguard: will+Dress,https://cdn.myanimelist.net/images/anime/1299/126131.jpg,カードファイト!! ヴァンガード will+Dress,13,5 Jul 2022,27 Sep 2022,Bushiroad,"Kinema Citrus, GIFTanimation, Studio Jemi",Kinema Citrus,Original,PG-13 - Teens 13 or older,6.86,21202120.0,5028,7711.0,7178,40,Medium
2022,summer,Extreme Hearts,https://cdn.myanimelist.net/images/anime/1413/121836.jpg,Extreme Hearts（エクストリームハーツ）,12,10 Jul 2022,25 Sep 2022,"TBS, King Records",Seven Arcs,Seven Arcs,Original,PG-13 - Teens 13 or older,6.53,46564656.0,6900,6061.0,12961,33,Medium
2022,spring,Atasha Kawashiri Kodama da yo: Dangerous Lifehacker no Tadareta Seikatsu,https://cdn.myanimelist.net/images/anime/1996/120580.jpg,あたしゃ川尻こだまだよ～デンジャラスライフハッカーのただれた生活～,24,14 Jan 2022,12 Aug 2022,"None found, add some",Lapin Track,Lapin Track,Web manga,PG-13 - Teens 13 or older,5.72,37383738.0,11280,7051.0,8998,31,Medium
2024,summer,0-saiji Start Dash Monogatari,https://cdn.myanimelist.net/images/anime/1973/144062.jpg,0歳児スタートダッシュ物語,12,7 Jul 2024,22 Sep 2024,"None found, add some","None found, add some",None found,Manga,PG-13 - Teens 13 or older,5.37,19211921.0,12497,6530.0,10797,23,Medium
2021,fall,Tropical-Rouge! Precure,https://cdn.myanimelist.net/images/anime/1184/110907.jpg,トロピカル～ジュ！プリキュア,46,28 Feb 2021,30 Jan 2022,"ABC Animation, ADK Emotions",Toei Animation,Toei Animation,Original,G - All Ages,7.39,45434543.0,2398,5864.0,14126,147,Medium
2024,winter,Hikari no Ou 2nd Season,https://cdn.myanimelist.net/images/anime/1361/140742.jpg,火狩りの王 第2シーズン,10,14 Jan 2024,17 Mar 2024,"Production I.G, WOWOW, flying DOG",Signal.MD,Signal.MD,Light novel,PG-13 - Teens 13 or older,5.88,45054505.0,10534,6072.0,12904,10,Medium
2021,summer,Maiko-san Chi no Makanai-san,https://cdn.myanimelist.net/images/anime/1355/111545.jpg,舞妓さんちのまかないさん,12,25 Feb 2021,27 Jan 2022,"NHK, NHK Enterprises",J.C.Staff,J.C.Staff,Manga,PG-13 - Teens 13 or older,7.03,47014701.0,4253,5166.0,19674,68,Medium
2021,winter,Healin' Good♡Precure,https://cdn.myanimelist.net/images/anime/1401/105084.jpg,ヒーリングっど♥プリキュア,45,2 Feb 2020,21 Feb 2021,"Asatsu DK, Asahi Broadcasting, ABC Animation",Toei Animation,Toei Animation,Original,G - All Ages,6.92,41924192.0,4739,6047.0,13036,84,Medium
