year,season,jp_title,img,Japanese,Episodes,Starting,Ending,Producers,Studios,Main Studio,Source,Age Rating,Rating Score,Reviewers,Rating Score Rank,Popularity Rank,Members,Favorites,Status
2022,winter,Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,https://cdn.myanimelist.net/images/anime/1088/120068.jpg,現実主義勇者の王国再建記,13,9 Jan 2022,3 Apr 2022,"Magic Capsule, KlockWorx, King Records, Overlap, WOWMAX, MIGHTY MEDIA",J.C.Staff,J.C.Staff,Light novel,PG-13 - Teens 13 or older,7.43,141691000000.0,2235,935.0,274783,1414,Best
2021,fall,"Komi-san wa, Comyushou desu.",https://cdn.myanimelist.net/images/anime/1899/117237.jpg,古見さんは、コミュ症です。,12,7 Oct 2021,23 Dec 2021,"TV Tokyo, Dentsu, Shogakukan-Shueisha Productions, Half H.P Studio, Nippon Columbia",OLM,OLM,Manga,PG-13 - Teens 13 or older,7.83,500669000000.0,972,191.0,945170,12198,Best
2024,summer,Boku no Hero Academia 7th Season,https://cdn.myanimelist.net/images/anime/1529/140306.jpg,僕のヒーローアカデミア 第7期,21,4 May 2024,12 Oct 2024,"Dentsu, Yomiuri Telecasting, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Bones,Bones,Manga,PG-13 - Teens 13 or older,8.07,135065000000.0,558,695.0,361718,2663,Best
2021,fall,Senpai ga Uzai Kouhai no Hanashi,https://cdn.myanimelist.net/images/anime/1055/118890.jpg,先輩がうざい後輩の話,12,10 Oct 2021,26 Dec 2021,"Movic, KlockWorx, King Records, Ichijinsha, DMM pictures",Doga Kobo,Doga Kobo,Web manga,PG-13 - Teens 13 or older,7.55,164682000000.0,1780,718.0,355066,1731,Best
2021,spring,Boku no Hero Academia 5th Season,https://cdn.myanimelist.net/images/anime/1911/113611.jpg,僕のヒーローアカデミア,25,27 Mar 2021,25 Sep 2021,"Dentsu, Movic, Sony Music Entertainment, TOHO animation, Shueisha",Bones,Bones,Manga,PG-13 - Teens 13 or older,7.36,647706000000.0,2543,115.0,1259149,10226,Best
2023,winter,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou - Yakusai-hen,https://cdn.myanimelist.net/images/anime/1476/128693.jpg,ダンジョンに出会いを求めるのは間違っているだろうかⅣ深章 厄災篇,11,7 Jan 2023,18 Mar 2023,"Genco, Movic, Warner Bros. Japan, KlockWorx, Hakuhodo DY Music & Pictures, Egg Firm, FuRyu, GREE, SB Creative",J.C.Staff,J.C.Staff,Light novel,R - 17+ (violence & profanity),8.25,134792000000.0,329,1009.0,257455,1751,Best
2022,summer,Isekai Yakkyoku,https://cdn.myanimelist.net/images/anime/1120/124644.jpg,異世界薬局,12,10 Jul 2022,25 Sep 2022,"Frontier Works, Pony Canyon, AT-X, Kansai Telecasting, BS NTV, Kadokawa, Bit grooove promotion",Diomedéa,Diomedéa,Light novel,PG-13 - Teens 13 or older,7.27,122871000000.0,3020,1059.0,244297,928,Best
2022,summer,Kumichou Musume to Sewagakari,https://cdn.myanimelist.net/images/anime/1454/122063.jpg,組長娘と世話係,12,7 Jul 2022,22 Sep 2022,"Pony Canyon, Bushiroad, Tokyo MX, Docomo Anime Store, bilibili, Micro Magazine Publishing, Bushiroad Move, Micro House","feel., Gaina",feel.,Web manga,PG-13 - Teens 13 or older,7.75,100683000000.0,1155,1072.0,241733,1162,Best
2021,spring,Mairimashita! Iruma-kun 2nd Season,https://cdn.myanimelist.net/images/anime/1527/113656.jpg,魔入りました！入間くん,21,17 Apr 2021,11 Sep 2021,"NHK, NHK Enterprises",Bandai Namco Pictures,Bandai Namco Pictures,Manga,PG-13 - Teens 13 or older,8.03,171851000000.0,621,735.0,345236,2431,Best
2023,spring,Dead Mount Death Play,https://cdn.myanimelist.net/images/anime/1930/133758.jpg,デッドマウント・デスプレイ,12,11 Apr 2023,27 Jun 2023,"Square Enix, Movic, Half H.P Studio, F.M.F, King Records, Crunchyroll, Kadokawa Media House, Geek Pictures",Geek Toys,Geek Toys,Manga,R - 17+ (violence & profanity),7.27,111687000000.0,3007,1003.0,259566,1242,Best
2024,winter,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 3rd Season,https://cdn.myanimelist.net/images/anime/1332/139318.jpg,ようこそ実力至上主義の教室へ 3rd Season,13,3 Jan 2024,27 Mar 2024,"Studio Hibari, Movic, AT-X, Sammy, Crunchyroll, Kadokawa Media House, Kadokawa, Bandai Namco Music Live",Lerche,Lerche,Light novel,PG-13 - Teens 13 or older,7.96,218498000000.0,710,540.0,447144,4267,Best
2021,spring,"Sentouin, Haken shimasu!",https://cdn.myanimelist.net/images/anime/1444/115118.jpg,戦闘員、派遣します！,12,4 Apr 2021,20 Jun 2021,"Nippon Columbia, Kadokawa",J.C.Staff,J.C.Staff,Light novel,PG-13 - Teens 13 or older,7.14,186661000000.0,3688,623.0,398127,2050,Best
2021,summer,Kobayashi-san Chi no Maid Dragon S,https://cdn.myanimelist.net/images/anime/1252/115539.jpg,小林さんちのメイドラゴンS,12,8 Jul 2021,23 Sep 2021,"Lantis, ABC Animation, Heart Company",Kyoto Animation,Kyoto Animation,Manga,PG-13 - Teens 13 or older,8.23,291186000000.0,359,399.0,582231,5788,Best
2022,summer,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu,https://cdn.myanimelist.net/images/anime/1561/125302.jpg,金装のヴェルメイユ ～崖っぷち魔術師は最強の厄災と魔法世界を突き進む～,12,5 Jul 2022,20 Sep 2022,"Square Enix, Toei Video, Pony Canyon, AT-X, Studio Mausu, Hakuhodo DY Music & Pictures, BS11, APDREAM",Staple Entertainment,Staple Entertainment,Manga,PG-13 - Teens 13 or older,6.8,125189000000.0,5320,844.0,308375,2088,Best
2021,spring,Fumetsu no Anata e,https://cdn.myanimelist.net/images/anime/1880/118484.jpg,不滅のあなたへ,20,12 Apr 2021,30 Aug 2021,"NHK, Kodansha, NHK Enterprises",Brain's Base,Brain's Base,Manga,R - 17+ (violence & profanity),8.34,390320000000.0,244,199.0,922273,15100,Best
2021,spring,Tensura Nikki: Tensei shitara Slime Datta Ken,https://cdn.myanimelist.net/images/anime/1458/117607.jpg,転スラ日記 転生したらスライムだった件,12,6 Apr 2021,22 Jun 2021,"Lantis, Kodansha, BS11, Bandai Namco Arts, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions",8bit,8bit,Manga,PG-13 - Teens 13 or older,7.59,161920000000.0,1617,699.0,360897,2111,Best
2022,summer,Kuro no Shoukanshi,https://cdn.myanimelist.net/images/anime/1517/125496.jpg,黒の召喚士,12,9 Jul 2022,24 Sep 2022,"flying DOG, Bushiroad, Docomo Anime Store, bilibili, Overlap, Bushiroad Move, Bushiroad Creative",Satelight,Satelight,Light novel,PG-13 - Teens 13 or older,7.04,131916000000.0,4177,987.0,263723,1128,Best
2023,fall,Kusuriya no Hitorigoto,https://cdn.myanimelist.net/images/anime/1708/138033.jpg,薬屋のひとりごと,24,22 Oct 2023,24 Mar 2024,"Dentsu, Square Enix, Nippon Television Network, TOHO animation, Shogakukan, Imagica Infos","OLM, TOHO animation STUDIO",OLM,Light novel,PG-13 - Teens 13 or older,8.88,295826000000.0,23,421.0,564467,16823,Best
2021,spring,Fruits Basket: The Final,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,フルーツバスケット The Final,13,6 Apr 2021,29 Jun 2021,"TV Tokyo, TV Osaka, Nihon Ad Systems, Hakusensha, Avex Pictures, TMS Music, 8PAN",TMS Entertainment,TMS Entertainment,Manga,PG-13 - Teens 13 or older,8.96,255908000000.0,15,460.0,514864,20749,Best
2021,winter,Ore dake Haireru Kakushi Dungeon,https://cdn.myanimelist.net/images/anime/1988/115708.jpg,俺だけ入れる隠しダンジョン,12,9 Jan 2021,27 Mar 2021,"Mainichi Broadcasting System, Kodansha, Crunchyroll, DMM pictures, DMM Music",Okuruto Noboru,Okuruto Noboru,Light novel,PG-13 - Teens 13 or older,6.28,212244000000.0,8408,598.0,413430,1795,Best
2021,fall,Blue Period,https://cdn.myanimelist.net/images/anime/1757/116931.jpg,ブルーピリオド,12,2 Oct 2021,18 Dec 2021,"Mainichi Broadcasting System, Kodansha, DMM pictures, Bit grooove promotion, DMM Music",Seven Arcs,Seven Arcs,Manga,PG-13 - Teens 13 or older,7.8,227962000000.0,1026,482.0,495562,6421,Best
2022,summer,"Kanojo, Okarishimasu 2nd Season",https://cdn.myanimelist.net/images/anime/1070/124592.jpg,彼女、お借りします,12,2 Jul 2022,17 Sep 2022,"Mainichi Broadcasting System, Kodansha, DMM pictures, DMM Music",TMS Entertainment,TMS Entertainment,Manga,PG-13 - Teens 13 or older,6.78,178728000000.0,5452,546.0,445201,4883,Best
2024,spring,Tensei shitara Slime Datta Ken 3rd Season,https://cdn.myanimelist.net/images/anime/1211/143476.jpg,転生したらスライムだった件 第3期,24,5 Apr 2024,27 Sep 2024,"Kodansha, Nippon Television Network, BS11, Micro Magazine Publishing, Bandai Spirits, Sony Music Solutions, ADK Marketing Solutions, Bandai Namco Filmworks, Bandai Namco Music Live",8bit,8bit,Manga,PG-13 - Teens 13 or older,7.68,159663000000.0,1341,616.0,401583,4199,Best
2021,summer,Edens Zero,https://cdn.myanimelist.net/images/anime/1011/111811.jpg,EDENS ZERO,25,11 Apr 2021,3 Oct 2021,"Kodansha, Magic Capsule, Nippon Television Music",J.C.Staff,J.C.Staff,Manga,PG-13 - Teens 13 or older,7.26,101148000000.0,3029,953.0,270775,1961,Best
2023,winter,Isekai Ojisan,https://cdn.myanimelist.net/images/anime/1743/125204.jpg,異世界おじさん,13,6 Jul 2022,8 Mar 2023,"Movic, AT-X, Sammy, BS11, Kadokawa Media House, Kadokawa",Atelier Pontdarc,Atelier Pontdarc,Web manga,PG-13 - Teens 13 or older,7.77,178230000000.0,1106,646.0,389320,2168,Best
2022,summer,Isekai Ojisan,https://cdn.myanimelist.net/images/anime/1743/125204.jpg,異世界おじさん,13,6 Jul 2022,8 Mar 2023,"Movic, AT-X, Sammy, BS11, Kadokawa Media House, Kadokawa",Atelier Pontdarc,Atelier Pontdarc,Web manga,PG-13 - Teens 13 or older,7.77,178230000000.0,1106,646.0,389320,2168,Best
2022,fall,Isekai Ojisan,https://cdn.myanimelist.net/images/anime/1743/125204.jpg,異世界おじさん,13,6 Jul 2022,8 Mar 2023,"Movic, AT-X, Sammy, BS11, Kadokawa Media House, Kadokawa",Atelier Pontdarc,Atelier Pontdarc,Web manga,PG-13 - Teens 13 or older,7.77,178230000000.0,1106,646.0,389320,2168,Best
2023,spring,Kono Subarashii Sekai ni Bakuen wo!,https://cdn.myanimelist.net/images/anime/1626/135844.jpg,この素晴らしい世界に爆焔を！,12,6 Apr 2023,22 Jun 2023,"Half H.P Studio, Nippon Columbia, Atelier Musa, 81 Produce, Sammy, Kadokawa",Drive,Drive,Light novel,PG-13 - Teens 13 or older,7.5,148051000000.0,1974,715.0,355873,1917,Best
2021,summer,Shinigami Bocchan to Kuro Maid,https://cdn.myanimelist.net/images/anime/1471/115593.jpg,死神坊ちゃんと黒メイド,12,4 Jul 2021,19 Sep 2021,"Shogakukan-Shueisha Productions, Shogakukan Music & Digital Entertainment, NBCUniversal Entertainment Japan, BS11, Shogakukan, Yomiuri TV Enterprise, Bandai Spirits",J.C.Staff,J.C.Staff,Web manga,PG-13 - Teens 13 or older,7.59,101770000000.0,1616,982.0,264981,1738,Best
2022,summer,Overlord IV,https://cdn.myanimelist.net/images/anime/1530/120110.jpg,オーバーロード IV,13,5 Jul 2022,27 Sep 2022,"AT-X, Hakuhodo DY Music & Pictures, NTT Plala, Kadokawa",Madhouse,Madhouse,Light novel,R - 17+ (violence & profanity),8.07,290845000000.0,574,400.0,580256,7313,Best
2021,summer,Shiroi Suna no Aquatope,https://cdn.myanimelist.net/images/anime/1932/114952.jpg,白い砂のアクアトープ,24,9 Jul 2021,17 Dec 2021,"BS Fuji, Tokyo MX, Infinite, Forecast Communications, Kadokawa Media House, DMM pictures, Bandai Namco Arts, AQUA ARIS",P.A. Works,P.A. Works,Original,PG-13 - Teens 13 or older,7.51,5331953319.0,1903,1435.0,175827,1409,Good
2024,winter,High Card Season 2,https://cdn.myanimelist.net/images/anime/1368/140801.jpg,HIGH CARD season 2,12,8 Jan 2024,25 Mar 2024,"TMS Entertainment, Half H.P Studio, Sammy, Kadokawa, NetEase",Studio Hibari,Studio Hibari,Mixed media,R - 17+ (violence & profanity),7.07,1467514675.0,4075,3481.0,45776,159,Good
2021,winter,Tenchi Souzou Design-bu,https://cdn.myanimelist.net/images/anime/1339/113938.jpg,天地創造デザイン部,12,7 Jan 2021,25 Mar 2021,"Dentsu, Kodansha, AT-X, Studio Mausu, BS Fuji, Tokyo MX, Avex Pictures, TV Aichi",Asahi Production,Asahi Production,Manga,PG-13 - Teens 13 or older,7.16,3394333943.0,3599,2500.0,82790,308,Good
2021,fall,Shiroi Suna no Aquatope,https://cdn.myanimelist.net/images/anime/1932/114952.jpg,白い砂のアクアトープ,24,9 Jul 2021,17 Dec 2021,"BS Fuji, Tokyo MX, Infinite, Forecast Communications, Kadokawa Media House, DMM pictures, Bandai Namco Arts, AQUA ARIS",P.A. Works,P.A. Works,Original,PG-13 - Teens 13 or older,7.51,5331953319.0,1903,1435.0,175827,1409,Good
2024,fall,"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season",https://cdn.myanimelist.net/images/anime/1280/143705.jpg,転生貴族、鑑定スキルで成り上がる 第2期,12,29 Sep 2024,22 Dec 2024,"Dentsu, CBC Television, Kodansha, Crunchyroll, U-NEXT, Tencent Japan, Bushiroad Move, Bandai Namco Filmworks, Bandai Namco Music Live",studio MOTHER,studio MOTHER,Light novel,PG-13 - Teens 13 or older,7.48,4102441024.0,2020,2287.0,95386,266,Good
2023,fall,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",https://cdn.myanimelist.net/images/anime/1848/140019.jpg,経験済みなキミと、 経験ゼロなオレが、 お付き合いする話。,12,6 Oct 2023,22 Dec 2023,"Pony Canyon, AT-X, Glovision, Docomo Anime Store, Sammy, Sun TV, Kadokawa",ENGI,ENGI,Light novel,PG-13 - Teens 13 or older,6.75,8494684946.0,5628,1303.0,195992,1507,Good
2023,spring,Kaminaki Sekai no Kamisama Katsudou,https://cdn.myanimelist.net/images/anime/1794/135148.jpg,神無き世界のカミサマ活動,12,6 Apr 2023,6 Jul 2023,"Lantis, DAX Production, Kansai Telecasting, BS NTV, Kadokawa, MAGNET, Bandai Namco Music Live",Studio Palette,Studio Palette,Manga,R - 17+ (violence & profanity),6.7,9152591525.0,5889,1220.0,211677,736,Good
2023,winter,Ooyukiumi no Kaina,https://cdn.myanimelist.net/images/anime/1064/131833.jpg,大雪海のカイナ,11,12 Jan 2023,23 Mar 2023,"Sony Pictures Entertainment, Dentsu, Fuji TV, BS Fuji, bilibili, Crunchyroll, NetEase",Polygon Pictures,Polygon Pictures,Original,PG-13 - Teens 13 or older,6.68,1541715417.0,6016,3246.0,51692,172,Good
2023,summer,Liar Liar,https://cdn.myanimelist.net/images/anime/1571/134525.jpg,ライアー・ライアー,12,8 Jul 2023,23 Sep 2023,"Shochiku, Tokyo MX, CyberAgent, Kadokawa, BS Asahi, Bushiroad Move, Geek Pictures, qooop",Geek Toys,Geek Toys,Light novel,PG-13 - Teens 13 or older,6.3,6206462064.0,8298,1540.0,163162,687,Good
