,Unnamed: 0,jp_title,en_title,char_name,fav,img
1272,44,Ao no Miburo,Blue Miburo,Jutarou Kimura (木村 寿太郎),Member Favorites: 0,
1273,45,Trillion Game,,Sumeragi  (皇),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/572847.jpg
1274,46,Acro Trip,,Tsuki  (月),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/556693.jpg
1275,47,Love Live! Superstar!! 3rd Season,Love Live! Superstar!! Season 3,Natsumi Onitsuka (鬼塚 夏美),Member Favorites: 47,https://cdn.myanimelist.net/images/characters/2/492875.jpg
1276,48,Touhai: Ura Rate Mahjong Touhairoku,,Noriyuki Takatsu (高津 則之),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/10/573318.jpg
1277,49,Mahoutsukai ni Narenakatta Onnanoko no Hanashi,The Stories of Girls Who Couldn't Be Magicians,Hazel Mirai (ヘーゼル＝ミライ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/572033.jpg
1278,50,Haigakura,,Gas Mask  (ガスマスク),Member Favorites: 0,
1279,51,Puniru wa Kawaii Slime,Puniru is a Kawaii Slime,Rei Kitakaze (北風 冷),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/571768.jpg
1280,52,Kinoko Inu,Kinokoinu Mushroom Pup,Itsuki Yara (矢良 いつき),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/8/558040.jpg
1281,53,Kamierabi 2nd Season,KamiErabi GOD.app Season 2,Eko Sasaki (佐々木 依怙),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/571151.jpg
1282,54,Hamidashi Creative,,Kano Tokiwa (常磐 華乃),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/2/558967.jpg
1283,55,Shin Tennis no Oujisama: U-17 World Cup Semifinal,The Prince of Tennis II U-17 World Cup Semifinal,Masaharu Niou (仁王 雅治),Member Favorites: 87,https://cdn.myanimelist.net/images/characters/14/207657.jpg
1284,56,Kankin Kuiki Level X,Lockdown Zone: Lv. X,Mother Tsurumi (涼花 の母),Member Favorites: 0,
1285,57,Murder Mystery of the Dead,,Rumina  (るみな),Member Favorites: 0,
1286,58,Ooi! Tonbo 2nd Season,Tonbo! Season 2,Gonzou Ooi (大井 権三),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/554741.jpg
1287,59,The iDOLM@STER Shiny Colors 2nd Season,The iDOLM@STER Shiny Colors Season 2,Mamimi Tanaka (田中 摩美々),Member Favorites: 14,https://cdn.myanimelist.net/images/characters/9/506371.jpg
1288,60,Tono to Inu,,Senmaru  (千丸),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/578952.jpg
1289,61,Neko ni Tensei shita Ojisan,,Ojisan  (おじさん),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/564366.jpg
1290,62,Hyakushou Kizoku 2nd Season,,Mother  (おかん),Member Favorites: 0,
1291,63,Kagaku x Bouken Survival!,,Mare  (マーレ),Member Favorites: 0,
1292,64,1 Cho,1 Second,,,
1293,65,Asatir 2: Mirai no Mukashi Banashi,Future Folktales 2,Maha  (マハ),Member Favorites: 0,
1294,66,Okaimono Panda!,,Shopping Panda  (お買いものパンダ),Member Favorites: 0,
1295,67,Maarui Kanojo to Zannen na Kareshi 2nd Season,,,,
1296,68,Shibuya♡Hachi Part 2,,Mike  (ミケ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/543114.jpg
1297,69,Shooting Star Catch! Tiniping,,,,
1298,70,Wish Cat,,,,
1299,71,Pochars,,,,
1300,72,Hero Inside 2,,,,
1301,73,One Piece,,Jinbe  (ジンベエ),"Member Favorites: 4,179",https://cdn.myanimelist.net/images/characters/15/307148.jpg
1302,74,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,873",https://cdn.myanimelist.net/images/characters/3/208069.jpg
1303,75,Fairy Tail: 100-nen Quest,Fairy Tail: 100 Years Quest,Gajeel Redfox (ガジル・レッドフォックス),"Member Favorites: 2,682",https://cdn.myanimelist.net/images/characters/5/99350.jpg
1304,76,2.5-jigen no Ririsa,2.5 Dimensional Seduction,Eri  (エリ),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/2/558009.jpg
1305,77,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",Our Last Crusade or the Rise of a New World Season 2,Elletear Lou Nebulis IX ( イリーティア・ルゥ・ネビュリス9世),Member Favorites: 7,https://cdn.myanimelist.net/images/characters/16/426147.jpg
1306,78,Crayon Shin-chan,Shin Chan,Ume Matsuzaka (まつざか 梅),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/312257.jpg
1307,79,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,Kyou Amasawa (天沢 キョウ),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/6/551284.jpg
1308,80,Delico's Nursery,,Klaus  (クラウス),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/568423.jpg
1309,81,Sengoku Youko: Senma Konton-hen,Sengoku Youko 2nd Season,Nau  (なう),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/557246.jpg
1310,82,Tasuuketsu,Tasuketsu: Fate of the Majority,Meguru Tsukioka (月岡 めぐる),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/10/563066.jpg
1311,83,Sazae-san,Mrs. Sazae,Ikura Namino (波野 イクラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/568770.jpg
1312,84,Wonderful Precure!,,Mey Mey  (メエメエ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/3/538170.jpg
1313,85,Chibi Maruko-chan (1995),Little Miss Maruko,Sueo Maruo (丸尾 末男),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/369533.jpg
1314,86,Yu☆Gi☆Oh! Go Rush!!,,Dinois Velgear (ディノワ・ベルギャー),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/514420.jpg
1315,87,Tousouchuu: Great Mission,Run For Money: The Great Mission,Joyce O'Hara (ジョイス・オハラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/546242.jpg
1316,88,Chiikawa,,Poshetto no Yoroi-san  (ポシェットの鎧さん),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/506123.jpg
1317,89,Bonobono (TV 2016),Bono Bono,Araiguma-kun no Otousan  (アライグマくんのお父さん),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/369480.jpg
