Main_Studio;Episodes;Rating Score;Rating Score Rank;Popularity Rank;Members;Favorites;Reviewers
Project No.9;13;7.271;3017;357;641172;6287;3.43249E+11
J.C.Staff;25;7.261;3029;953;270775;1961;1.01148E+11
Tatsunoko Production;51;7.231;3212;10519;3008;11;972972
Telecom Animation Film;12;7.221;3274;238;840873;8953;4.55946E+11
J.C.Staff;12;7.141;3688;623;398127;2050;1.86661E+11
Nomad;12;7.121;3800;1038;248876;1709;1.14254E+11
Shaft;12;7.081;3987;2128;105775;599;3344633446
J.C.Staff;12;7.031;4253;5166;19674;68;47014701
TMS Entertainment;12;7.011;4362;2133;105623;749;4201842018
W-Toon Studio;26;6.981;4474;7611;7389;27;30183018
Revoroot;12;6.911;4765;603;411542;2225;1.98342E+11
Bridge;52;6.901;4827;946;271882;1735;7711877118
Tezuka Productions;10;6.691;5958;559;439633;2750;1.98414E+11
Bones;13;6.651;6195;2738;71439;389;3062730627
Signal.MD;13;6.581;6592;1832;129490;597;3730337303
Studio Deen;24;6.571;6673;533;451468;1582;2.1588E+11
Bandai Namco Pictures;24;6.551;6783;9406;4256;27;12641264
Nippon Animation;12;6.541;6840;3355;48798;135;1604716047
ENGI;12;6.471;7255;988;263716;1146;1.21291E+11
Signal.MD;12;6.421;7572;2846;66488;208;2404924049
Studio VOLN;24;6.331;8074;3597;43269;103;1430414304
LIDENFILMS;12;6.301;8273;2993;60795;184;2384023840
Pie in the sky;25;6.301;8271;13185;1333;2;153153
Bridge;92;6.201;8864;5260;18794;88;49084908
Shin-Ei Animation;12;6.151;9116;2657;74656;329;2322823228
Bakken Record;12;6.111;9310;2234;98823;382;3043330433
LIDENFILMS;13;6.101;9371;3556;44257;134;1602616026
Doga Kobo;12;6.071;9574;922;279689;1658;1.23521E+11
W-Toon Studio;12;6.041;9715;7557;7524;22;16001600
Fanworks;26;5.971;10049;11633;2166;16;323323
Kinema Citrus;12;5.971;10046;5482;16842;68;56025602
Bandai Namco Pictures;11;5.951;10191;5002;21343;86;80318031
Studio Comet;12;5.911;10383;4575;26451;166;61316131
OLM;51;5.891;10490;12206;1805;10;263263
J.C.Staff;24;5.861;10643;4198;31502;106;71507150
LIDENFILMS Osaka Studio;48;5.841;10723;9188;4582;3;937937
Kachidoki Studio;50;5.711;11323;12330;1729;6;227227
NAZ;12;5.281;12732;7161;8656;44;40974097
Seven;12;5.111;13076;7115;8831;13;27932793
Pierrot;26;8.831;30;2033;113997;2347;4576645766
Brain's Base;20;8.341;244;199;922273;15100;3.9032E+11
8bit;12;8.311;269;240;835843;10975;4.82445E+11
Kyoto Animation;12;8.231;359;399;582231;5788;2.91186E+11
TROYCA;13;8.231;365;4708;24625;391;83508350
Bandai Namco Pictures;21;8.031;621;735;345236;2431;1.71851E+11
Sunrise;12;7.921;789;2673;73961;1123;2865928659
Bones;12;7.901;817;404;576940;7877;2.34788E+11
LIDENFILMS;24;7.871;877;105;1323564;25255;7.31285E+11
Madhouse;12;7.821;1000;755;339214;7654;1.21516E+11
Toei Animation;100;7.731;1218;2613;76566;644;2596225962
PINE JAM;13;7.721;1237;2396;88045;511;2803028030
C2C;12;7.711;1269;477;500510;4451;2.66166E+11
Studio Blanc.;13;7.701;1307;1030;251243;2536;9728897288
MAPPA;11;7.611;1553;1278;199939;1630;8040080400
J.C.Staff;12;7.591;1616;982;264981;1738;1.0177E+11
P.A. Works;24;7.511;1903;1435;175827;1409;5331953319
feel.;12;7.391;2421;697;361603;2456;1.67473E+11
Toei Animation;46;7.391;2398;5864;14126;147;45434543
Bones;25;7.361;2543;115;1259149;10226;6.47706E+11
SILVER LINK.;12;7.261;3070;1018;256322;1078;1.11912E+11
J.C.Staff;25;7.261;3029;953;270775;1961;1.01148E+11
J.C.Staff;13;7.251;3104;576;424570;2685;2.17128E+11
SILVER LINK.;12;7.221;3239;1082;239767;863;1.07437E+11
MAPPA;12;7.191;3411;1709;142296;873;5376153761
