,jp_title,char_name,fav,img,colors
2736,Kimetsu no Yaiba: Mugen Ressha-hen,Tanjirou Kamado (竈門 炭治郎),24662,https://cdn.myanimelist.net/images/characters/6/386735.jpg,"[[177, 210, 248], [159, 182, 226], [128, 131, 168], [91, 77, 139], [55, 49, 95], [28, 21, 50], [9, 5, 11], [41, 40, 21], [60, 54, 13], [83, 64, 7], [90, 92, 4], [126, 100, 67], [118, 152, 7], [214, 209, 203], [242, 244, 250]]"
2737,Kimetsu no Yaiba: Mugen Ressha-hen,Zenitsu Agatsuma (我妻 善逸),16544,https://cdn.myanimelist.net/images/characters/10/459689.jpg,"[[187, 215, 244], [168, 191, 213], [121, 159, 202], [83, 160, 212], [59, 133, 174], [99, 111, 129], [40, 106, 147], [25, 76, 113], [40, 56, 74], [9, 14, 30], [159, 158, 164], [56, 139, 219], [99, 202, 237], [120, 213, 242], [233, 240, 242]]"
2738,Kimetsu no Yaiba: Mugen Ressha-hen,Inosuke Hashibira (嘴平 伊之助),15077,https://cdn.myanimelist.net/images/characters/3/329560.jpg,"[[171, 220, 246], [135, 187, 246], [122, 125, 203], [38, 82, 151], [21, 27, 31], [60, 75, 65], [97, 102, 106], [126, 131, 135], [155, 163, 168], [190, 196, 199], [58, 192, 236], [58, 136, 237], [92, 159, 243], [238, 244, 246], [98, 223, 247]]"
3671,Sono Bisque Doll wa Koi wo Suru,Marin Kitagawa (喜多川 海夢),23121,https://cdn.myanimelist.net/images/characters/10/459773.jpg,"[[220, 231, 251], [191, 232, 253], [177, 215, 252], [164, 200, 244], [154, 182, 217], [137, 160, 190], [126, 143, 159], [99, 131, 174], [96, 118, 145], [76, 92, 130], [56, 70, 103], [40, 42, 65], [21, 20, 25], [189, 191, 193], [251, 252, 252]]"
4492,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya Shinomiya (四宮 かぐや),26199,https://cdn.myanimelist.net/images/characters/2/504723.jpg,"[[226, 241, 254], [215, 214, 233], [148, 159, 195], [132, 126, 158], [89, 95, 131], [61, 59, 101], [13, 16, 72], [24, 19, 26], [39, 31, 42], [53, 39, 64], [82, 69, 81], [113, 96, 111], [40, 52, 171], [184, 182, 187], [247, 247, 248]]"
4493,Kaguya-sama wa Kokurasetai: Ultra Romantic,Yuu Ishigami (石上 優),21759,https://cdn.myanimelist.net/images/characters/7/372840.jpg,"[[212, 223, 246], [21, 17, 26], [32, 19, 20], [40, 25, 24], [49, 38, 41], [71, 56, 57], [93, 72, 71], [108, 103, 109], [137, 132, 137], [68, 166, 111], [162, 163, 172], [190, 184, 187], [205, 208, 214], [240, 241, 243], [251, 253, 253]]"
4494,Kaguya-sama wa Kokurasetai: Ultra Romantic,Chika Fujiwara (藤原 千花),16035,https://cdn.myanimelist.net/images/characters/15/559031.jpg,"[[213, 228, 246], [213, 208, 235], [200, 194, 225], [145, 163, 227], [125, 129, 179], [96, 105, 140], [67, 69, 125], [33, 29, 37], [62, 57, 66], [137, 96, 24], [167, 162, 172], [243, 244, 244], [114, 244, 251], [14, 236, 252], [48, 242, 253]]"
4646,Date A Live IV,Kurumi Tokisaki (時崎 狂三),22498,https://cdn.myanimelist.net/images/characters/8/310255.jpg,"[[231, 240, 253], [200, 211, 244], [169, 179, 226], [144, 148, 176], [104, 107, 130], [74, 72, 84], [25, 21, 98], [13, 12, 60], [9, 8, 13], [29, 27, 29], [48, 45, 52], [49, 47, 143], [76, 81, 195], [104, 136, 224], [252, 253, 254]]"
5292,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Kiyotaka Ayanokouji (綾小路 清隆),36299,https://cdn.myanimelist.net/images/characters/4/539058.jpg,"[[209, 228, 249], [191, 201, 235], [160, 159, 201], [121, 117, 167], [36, 18, 46], [89, 53, 74], [118, 89, 107], [102, 38, 130], [153, 136, 143], [182, 145, 94], [94, 46, 183], [212, 185, 129], [253, 237, 138], [251, 251, 253], [254, 250, 73]]"
6123,Chainsaw Man,Power  (パワー),21895,https://cdn.myanimelist.net/images/characters/7/494969.jpg,"[[198, 218, 248], [189, 201, 210], [147, 188, 229], [158, 171, 183], [124, 153, 190], [123, 133, 145], [90, 106, 153], [83, 96, 115], [49, 65, 89], [8, 7, 14], [55, 50, 47], [127, 99, 71], [17, 23, 173], [215, 233, 236], [239, 239, 239]]"
