,jp_title,char_name,fav,img,colors
3671,Sono Bisque Doll wa Koi wo Suru,Marin Kitagawa (喜多川 海夢),23121,https://cdn.myanimelist.net/images/characters/10/459773.jpg,"[[220, 231, 251], [191, 232, 253], [177, 215, 252], [164, 200, 244], [154, 182, 217], [137, 160, 190], [126, 143, 159], [99, 131, 174], [96, 118, 145], [76, 92, 130], [56, 70, 103], [40, 42, 65], [21, 20, 25], [189, 191, 193], [251, 252, 252]]"
4492,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya Shinomiya (四宮 かぐや),26199,https://cdn.myanimelist.net/images/characters/2/504723.jpg,"[[226, 241, 254], [215, 214, 233], [148, 159, 195], [132, 126, 158], [89, 95, 131], [61, 59, 101], [13, 16, 72], [24, 19, 26], [39, 31, 42], [53, 39, 64], [82, 69, 81], [113, 96, 111], [40, 52, 171], [184, 182, 187], [247, 247, 248]]"
4493,Kaguya-sama wa Kokurasetai: Ultra Romantic,Yuu Ishigami (石上 優),21759,https://cdn.myanimelist.net/images/characters/7/372840.jpg,"[[212, 223, 246], [21, 17, 26], [32, 19, 20], [40, 25, 24], [49, 38, 41], [71, 56, 57], [93, 72, 71], [108, 103, 109], [137, 132, 137], [68, 166, 111], [162, 163, 172], [190, 184, 187], [205, 208, 214], [240, 241, 243], [251, 253, 253]]"
4646,Date A Live IV,Kurumi Tokisaki (時崎 狂三),22498,https://cdn.myanimelist.net/images/characters/8/310255.jpg,"[[231, 240, 253], [200, 211, 244], [169, 179, 226], [144, 148, 176], [104, 107, 130], [74, 72, 84], [25, 21, 98], [13, 12, 60], [9, 8, 13], [29, 27, 29], [48, 45, 52], [49, 47, 143], [76, 81, 195], [104, 136, 224], [252, 253, 254]]"
5292,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Kiyotaka Ayanokouji (綾小路 清隆),36299,https://cdn.myanimelist.net/images/characters/4/539058.jpg,"[[209, 228, 249], [191, 201, 235], [160, 159, 201], [121, 117, 167], [36, 18, 46], [89, 53, 74], [118, 89, 107], [102, 38, 130], [153, 136, 143], [182, 145, 94], [94, 46, 183], [212, 185, 129], [253, 237, 138], [251, 251, 253], [254, 250, 73]]"
6123,Chainsaw Man,Power  (パワー),21895,https://cdn.myanimelist.net/images/characters/7/494969.jpg,"[[198, 218, 248], [189, 201, 210], [147, 188, 229], [158, 171, 183], [124, 153, 190], [123, 133, 145], [90, 106, 153], [83, 96, 115], [49, 65, 89], [8, 7, 14], [55, 50, 47], [127, 99, 71], [17, 23, 173], [215, 233, 236], [239, 239, 239]]"
6163,Mob Psycho 100 III,Arataka Reigen (霊幻 新隆),39247,https://cdn.myanimelist.net/images/characters/16/308364.jpg,"[[172, 196, 215], [131, 180, 215], [62, 145, 187], [115, 137, 168], [80, 106, 126], [43, 100, 146], [9, 28, 18], [37, 57, 55], [81, 81, 81], [118, 113, 115], [153, 157, 145], [175, 137, 184], [178, 186, 162], [203, 204, 190], [247, 246, 228]]"
6164,Mob Psycho 100 III,Shigeo Kageyama (影山 茂夫),26483,https://cdn.myanimelist.net/images/characters/6/343344.jpg,"[[205, 223, 241], [125, 145, 188], [14, 17, 15], [37, 38, 36], [63, 74, 68], [100, 124, 109], [149, 161, 147], [112, 175, 108], [95, 199, 196], [189, 203, 195], [135, 203, 141], [150, 220, 163], [223, 222, 203], [225, 209, 167], [232, 240, 235]]"
6193,Boku no Hero Academia 6th Season,Izuku Midoriya (緑谷 出久),25536,https://cdn.myanimelist.net/images/characters/7/299404.jpg,"[[184, 217, 252], [94, 131, 185], [75, 89, 110], [45, 53, 67], [3, 6, 52], [3, 4, 4], [33, 39, 7], [75, 68, 6], [76, 98, 21], [77, 107, 4], [2, 2, 118], [126, 128, 130], [3, 3, 161], [180, 174, 167], [248, 248, 249]]"
6195,Boku no Hero Academia 6th Season,Shouto Todoroki (轟 焦凍),25439,https://cdn.myanimelist.net/images/characters/12/332527.jpg,"[[189, 220, 251], [172, 187, 203], [108, 142, 188], [85, 107, 185], [64, 75, 144], [39, 47, 87], [21, 19, 81], [40, 29, 23], [61, 45, 40], [88, 76, 75], [117, 96, 91], [114, 116, 123], [39, 30, 140], [157, 157, 149], [237, 240, 239]]"
6197,Boku no Hero Academia 6th Season,Katsuki Bakugou (爆豪 勝己),23065,https://cdn.myanimelist.net/images/characters/12/299406.jpg,"[[181, 220, 250], [148, 182, 209], [111, 142, 169], [76, 119, 163], [95, 105, 114], [56, 73, 90], [32, 44, 55], [3, 9, 48], [5, 5, 11], [78, 63, 4], [2, 1, 113], [2, 2, 141], [1, 1, 166], [180, 173, 164], [248, 248, 248]]"
