jp_title;char_name;fav;img
Tensei shitara Slime Datta Ken 2nd Season;Souei  (ソウエイ);592;https://cdn.myanimelist.net/images/characters/6/360791.jpg
Tensei shitara Slime Datta Ken 2nd Season;Gobta  (ゴブタ);504;https://cdn.myanimelist.net/images/characters/12/381715.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Emilia  (エミリア);23267;https://cdn.myanimelist.net/images/characters/16/551926.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Subaru Natsuki (ナツキ・スバル);21895;https://cdn.myanimelist.net/images/characters/15/315153.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Rem  (レム);45866;https://cdn.myanimelist.net/images/characters/9/311327.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Echidna  (エキドナ);5287;https://cdn.myanimelist.net/images/characters/13/319348.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Beatrice  (ベアトリス);3599;https://cdn.myanimelist.net/images/characters/11/563877.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Ram  (ラム);2667;https://cdn.myanimelist.net/images/characters/15/306390.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Petelgeuse Romanée-Conti (ペテルギウス・ロマネコンティ);1406;https://cdn.myanimelist.net/images/characters/5/433803.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Otto Suwen (オットー・スーウェン);1080;https://cdn.myanimelist.net/images/characters/3/438832.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Pack  (パック);922;https://cdn.myanimelist.net/images/characters/15/300489.jpg
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2;Roswaal L. Mathers (ロズワール・Ｌ・メイザース);519;https://cdn.myanimelist.net/images/characters/6/512960.jpg
Yakusoku no Neverland 2nd Season;Ray  (レイ);8193;https://cdn.myanimelist.net/images/characters/16/360042.jpg
Yakusoku no Neverland 2nd Season;Norman  (ノーマン);6160;https://cdn.myanimelist.net/images/characters/7/323859.jpg
Yakusoku no Neverland 2nd Season;Emma  (エマ);4481;https://cdn.myanimelist.net/images/characters/12/455009.jpg
Yakusoku no Neverland 2nd Season;Phil  (フィル);1683;https://cdn.myanimelist.net/images/characters/7/436435.jpg
Yakusoku no Neverland 2nd Season;Isabella  (イザベラ);880;https://cdn.myanimelist.net/images/characters/5/462007.jpg
Yakusoku no Neverland 2nd Season;Mujika  (ムジカ);322;https://cdn.myanimelist.net/images/characters/12/345513.jpg
Yakusoku no Neverland 2nd Season;Gilda  (ギルダ);165;https://cdn.myanimelist.net/images/characters/13/345925.jpg
Yakusoku no Neverland 2nd Season;Sonju  (ソンジュ);90;https://cdn.myanimelist.net/images/characters/14/436437.jpg
