,jp_title,en_title,char_name,fav,img
0,Tokyo Revengers,,Manjirou Sano (佐野 万次郎),"Member Favorites: 10,622",https://cdn.myanimelist.net/images/characters/4/514406.jpg
1,Tokyo Revengers,,Ken Ryuuguuji (龍宮寺 堅),"Member Favorites: 4,902",https://cdn.myanimelist.net/images/characters/3/388001.jpg
2,Tokyo Revengers,,Takemichi Hanagaki (花垣 武道),"Member Favorites: 2,162",https://cdn.myanimelist.net/images/characters/6/448782.jpg
3,Tokyo Revengers,,Chifuyu Matsuno (松野 千冬),"Member Favorites: 5,520",https://cdn.myanimelist.net/images/characters/14/387987.jpg
4,Tokyo Revengers,,Keisuke Baji (場地 圭介),"Member Favorites: 3,338",https://cdn.myanimelist.net/images/characters/10/387998.jpg
5,Tokyo Revengers,,Takashi Mitsuya (三ツ谷 隆),"Member Favorites: 2,048",https://cdn.myanimelist.net/images/characters/4/388013.jpg
6,Tokyo Revengers,,Kazutora Hanemiya (羽宮 一虎),"Member Favorites: 1,261",https://cdn.myanimelist.net/images/characters/15/387997.jpg
7,Tokyo Revengers,,Shuuji Hanma (半間 修二),Member Favorites: 579,https://cdn.myanimelist.net/images/characters/10/457022.jpg
8,Tokyo Revengers,,Hinata Tachibana (橘 日向),Member Favorites: 567,https://cdn.myanimelist.net/images/characters/3/441454.jpg
9,Tokyo Revengers,,Nahoya Kawata (河田 ナホヤ),Member Favorites: 361,https://cdn.myanimelist.net/images/characters/16/397159.jpg
10,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Izuku Midoriya (緑谷 出久),"Member Favorites: 25,537",https://cdn.myanimelist.net/images/characters/7/299404.jpg
11,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Shouto Todoroki (轟 焦凍),"Member Favorites: 25,439",https://cdn.myanimelist.net/images/characters/12/332527.jpg
12,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Katsuki Bakugou (爆豪 勝己),"Member Favorites: 23,065",https://cdn.myanimelist.net/images/characters/12/299406.jpg
13,Boku no Hero Academia 5th Season,My Hero Academia Season 5,All Might  (オール・マイト),"Member Favorites: 9,777",https://cdn.myanimelist.net/images/characters/14/310613.jpg
14,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Shouta Aizawa (相澤 消太),"Member Favorites: 7,842",https://cdn.myanimelist.net/images/characters/8/301855.jpg
15,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Eijirou Kirishima (切島 鋭児郎),"Member Favorites: 6,107",https://cdn.myanimelist.net/images/characters/11/329529.jpg
16,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Himiko Toga (渡我 被身子),"Member Favorites: 5,625",https://cdn.myanimelist.net/images/characters/7/485281.jpg
17,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Ochako Uraraka (麗日 お茶子),"Member Favorites: 5,605",https://cdn.myanimelist.net/images/characters/9/299421.jpg
18,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Dabi  (荼毘),"Member Favorites: 5,001",https://cdn.myanimelist.net/images/characters/6/454749.jpg
19,Boku no Hero Academia 5th Season,My Hero Academia Season 5,Tsuyu Asui (蛙吹 梅雨),"Member Favorites: 4,673",https://cdn.myanimelist.net/images/characters/10/299409.jpg
20,Fumetsu no Anata e,To Your Eternity,Fushi  (不死 (フシ)),"Member Favorites: 3,666",https://cdn.myanimelist.net/images/characters/11/414023.jpg
21,Fumetsu no Anata e,To Your Eternity,Gugu  (グーグー),"Member Favorites: 1,558",https://cdn.myanimelist.net/images/characters/4/444410.jpg
22,Fumetsu no Anata e,To Your Eternity,March  (マーチ),Member Favorites: 509,https://cdn.myanimelist.net/images/characters/15/409837.jpg
23,Fumetsu no Anata e,To Your Eternity,Parona  (パロナ),Member Favorites: 283,https://cdn.myanimelist.net/images/characters/7/484303.jpg
24,Fumetsu no Anata e,To Your Eternity,Pyoran  (ピオラン),Member Favorites: 106,https://cdn.myanimelist.net/images/characters/15/414020.jpg
25,Fumetsu no Anata e,To Your Eternity,Joan  (ジョアン),Member Favorites: 99,https://cdn.myanimelist.net/images/characters/9/444277.jpg
26,Fumetsu no Anata e,To Your Eternity,Kansatsusha  (観察者),Member Favorites: 98,https://cdn.myanimelist.net/images/characters/5/414022.jpg
27,Fumetsu no Anata e,To Your Eternity,Tonari Dalton (トナリ・ダルトン),Member Favorites: 69,https://cdn.myanimelist.net/images/characters/6/498178.jpg
28,Fumetsu no Anata e,To Your Eternity,Hayase  (ハヤセ),Member Favorites: 59,https://cdn.myanimelist.net/images/characters/7/414018.jpg
29,Fumetsu no Anata e,To Your Eternity,Rynn Cropp (リーン・クロップ),Member Favorites: 46,https://cdn.myanimelist.net/images/characters/2/452738.jpg
30,86,86 Eighty-Six,Vladilena Milizé (ヴラディレーナ・ミリーゼ),"Member Favorites: 12,188",https://cdn.myanimelist.net/images/characters/15/428175.jpg
31,86,86 Eighty-Six,Shinei Nouzen (シンエイ・ノウゼン),"Member Favorites: 8,637",https://cdn.myanimelist.net/images/characters/13/481806.jpg
32,86,86 Eighty-Six,Anju Emma (アンジュ・エマ),Member Favorites: 582,https://cdn.myanimelist.net/images/characters/5/453259.jpg
33,86,86 Eighty-Six,Kurena Kukumila (クレナ・ククミラ),Member Favorites: 567,https://cdn.myanimelist.net/images/characters/9/453260.jpg
34,86,86 Eighty-Six,Theoto Rikka (セオト・リッカ),Member Favorites: 291,https://cdn.myanimelist.net/images/characters/11/453261.jpg
35,86,86 Eighty-Six,Raiden Shuga (ライデン・シュガ),Member Favorites: 260,https://cdn.myanimelist.net/images/characters/15/453262.jpg
36,86,86 Eighty-Six,Kaie Taniya (カイエ・タニヤ),Member Favorites: 70,https://cdn.myanimelist.net/images/characters/10/435470.jpg
37,86,86 Eighty-Six,Haruto Keats (ハルト・キーツ),Member Favorites: 55,https://cdn.myanimelist.net/images/characters/15/481807.jpg
38,86,86 Eighty-Six,Henrietta Penrose (アンリエッタ・ペンローズ),Member Favorites: 51,https://cdn.myanimelist.net/images/characters/11/435468.jpg
39,86,86 Eighty-Six,Kiriya Nouzen (キリヤ・ノウゼン),Member Favorites: 23,https://cdn.myanimelist.net/images/characters/6/461173.jpg
40,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",Hayase Nagatoro (長瀞 早瀬),"Member Favorites: 6,971",https://cdn.myanimelist.net/images/characters/3/522251.jpg
41,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",Naoto Hachiouji (八王子 直人),Member Favorites: 623,https://cdn.myanimelist.net/images/characters/7/529716.jpg
42,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",Maki Gamou (蒲生 まき),Member Favorites: 240,https://cdn.myanimelist.net/images/characters/7/441784.jpg
43,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",Sana Sunomiya (須ノ宮 さな),Member Favorites: 226,https://cdn.myanimelist.net/images/characters/2/503274.jpg
44,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",Yoshi  (ヨッシー),Member Favorites: 213,https://cdn.myanimelist.net/images/characters/4/441785.jpg
45,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",Sakura  (桜),Member Favorites: 98,https://cdn.myanimelist.net/images/characters/9/529714.jpg
