,jp_title,en_title,char_name,fav,img
66,Ninjala (TV),,Burton  (バートン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/537940.jpg
67,Shikaru Neko,,,,
68,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kanako  (夏菜子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/575733.jpg
69,Shiawase Haitatsu Taneko,,,,
70,Uchuu Nanchara Kotetsu-kun,Space Academy,Niko  (ニコ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/436984.jpg
71,Manul no Yuube,,,,
72,Shin Nippon History,,,,
73,Ganbare! Choushuu-kun,,,,
74,Madtoy Chatty,,,,
75,Youkoso Ninchishou Sekai e,,,,
