,jp_title,en_title,char_name,fav,img
0,Sousou no Frieren,Frieren: Beyond Journey's End,Denken  (デンケン),Member Favorites: 186,https://cdn.myanimelist.net/images/characters/6/538686.jpg
1,Spy x Family Season 2,,Becky Blackbell (ベッキ・ブラックベル),Member Favorites: 116,https://cdn.myanimelist.net/images/characters/3/528426.jpg
2,Kusuriya no Hitorigoto,The Apothecary Diaries,Xiaolan  (小蘭),Member Favorites: 26,https://cdn.myanimelist.net/images/characters/16/574075.jpg
3,Tate no Yuusha no Nariagari Season 3,The Rising of the Shield Hero Season 3,Ren Amaki (天木 錬),Member Favorites: 76,https://cdn.myanimelist.net/images/characters/2/363563.jpg
4,Kage no Jitsuryokusha ni Naritakute! 2nd Season,The Eminence in Shadow Season 2,Zeta  (ゼータ),Member Favorites: 151,https://cdn.myanimelist.net/images/characters/10/483019.jpg
5,Goblin Slayer II,,Yaritsukai  (槍使い),Member Favorites: 18,https://cdn.myanimelist.net/images/characters/8/402005.jpg
6,"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su",Shangri-La Frontier,Elke  (エルク),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/10/533457.jpg
7,Dr. Stone: New World Part 2,,Tsukasa Shishiou (獅子王 司),Member Favorites: 584,https://cdn.myanimelist.net/images/characters/6/385096.jpg
8,Undead Unluck,,Juiz  (ジュイス),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/7/520125.jpg
9,Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo,"The 100 Girlfriends Who Really, Really, Really, Really, Really Love You",Love God  (神様),Member Favorites: 22,https://cdn.myanimelist.net/images/characters/15/515809.jpg
10,Ragna Crimson,,Nebulim  (ネビュリム),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/11/525602.jpg
11,Tokyo Revengers: Tenjiku-hen,Tokyo Revengers: Tenjiku Arc,Nahoya Kawata (河田 ナホヤ),Member Favorites: 361,https://cdn.myanimelist.net/images/characters/16/397159.jpg
12,Boushoku no Berserk,Berserk of Gluttony,Bartender  ,Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/575687.jpg
13,Hametsu no Oukoku,The Kingdoms of Ruin,Punch  (パンチ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/4/528566.jpg
14,"Keikenzumi na Kimi to, Keiken Zero na Ore ga, Otsukiai suru Hanashi.",Our Dating Story: The Experienced You and The Inexperienced Me,Shuugo Sekiya (関家 柊吾),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/516647.jpg
15,Seiken Gakuin no Makentsukai,The Demon Sword Master of Excalibur Academy,Nefakess Voidlord (ネファケス・ヴォイドロード),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/4/530191.jpg
16,Kikansha no Mahou wa Tokubetsu desu,A Returner's Magic Should Be Special,Kraiken  (クライケン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/531197.jpg
17,Kamonohashi Ron no Kindan Suiri,Ron Kamonohashi's Forbidden Deductions,Minami Unno (海野南),Member Favorites: 0,
18,Saihate no Paladin: Tetsusabi no Yama no Ou,The Faraway Paladin: The Lord of the Rust Mountains,Antonio  (トニオ（アントニオ）),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/14/454882.jpg
19,Dead Mount Death Play Part 2,,Civil A. Sabaramond (シヴィル・A・ サバラモン),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/13/527185.jpg
20,Watashi no Oshi wa Akuyaku Reijou.,I'm in Love with the Villainess,Thane Bauer ,Member Favorites: 2,https://cdn.myanimelist.net/images/characters/6/519184.jpg
21,"Konyaku Haki sareta Reijou wo Hirotta Ore ga, Ikenai Koto wo Oshiekomu",I'm Giving the Disgraced Noble Lady I Rescued a Crash Course in Naughtiness,Chris  (クリス),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/530404.jpg
22,Hikikomari Kyuuketsuki no Monmon,The Vexations of a Shut-In Vampire Princess,Delphine  (デルピュネー),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/13/528563.jpg
23,Kanojo mo Kanojo Season 2,"Girlfriend, Girlfriend Season 2",Mirika's Father  (ミリカ父),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/454603.jpg
24,Mahoutsukai no Yome Season 2 Part 2,The Ancient Magus' Bride Season 2 Part 2,Mikhail Renfred (ミハイル・レンフレッド),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/9/335219.jpg
25,Seijo no Maryoku wa Bannou desu Season 2,The Saint's Magic Power is Omnipotent Season 2,Seiran  (セイラン),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/521533.jpg
