,jp_title,en_title,char_name,fav,img
0,[Oshi no Ko] 2nd Season,[Oshi No Ko] Season 2,Sarina Tendouji (天童寺 さりな),Member Favorites: 124,https://cdn.myanimelist.net/images/characters/7/512492.jpg
1,Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,Alya Sometimes Hides Her Feelings in Russian,Touya Kenzaki (剣崎 冬也),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/5/549512.jpg
2,Tsue to Tsurugi no Wistoria,Wistoria: Wand and Sword,Julius Reinberg (ユリウス・レインバーグ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/3/543245.jpg
3,Kami no Tou: Ouji no Kikan,Tower of God Season 2: Return of the Prince,Yihwa Yeon (연 이화 / 蓮梨花),Member Favorites: 123,https://cdn.myanimelist.net/images/characters/3/561417.jpg
4,Make Heroine ga Oosugiru!,Makeine: Too Many Losing Heroines!,Koto Tsukinoki (月之木 古都),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/13/552229.jpg
5,Shikanoko Nokonoko Koshitantan,My Deer Friend Nokotan,Ukai  (鵜飼),Member Favorites: 6,https://cdn.myanimelist.net/images/characters/12/563174.jpg
6,Isekai Shikkaku,No Longer Allowed in Another World,Yuriko  (ユリコ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/16/553816.jpg
7,"Hazurewaku no ""Joutai Ijou Skill"" de Saikyou ni Natta Ore ga Subete wo Juurin suru made",Failure Frame: I Became the Strongest and Annihilated Everything With Low-Level Spells,Civit Gar​​​tla​​​nd (シビト・ガートランド),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/553267.jpg
8,Gimai Seikatsu,Days with My Stepsister,Keisuke Shinjou (新庄 圭介),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/560841.jpg
9,Giji Harem,Pseudo Harem,Kiri Shirasawa (白沢 きり),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/552521.jpg
10,Nige Jouzu no Wakagimi,The Elusive Samurai,Takatoki Houjou (北条 高時),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/7/555625.jpg
11,"Ore wa Subete wo ""Parry"" suru: Gyaku Kanchigai no Sekai Saikyou wa Boukensha ni Naritai",I Parry Everything,Clays  (クレイス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/542755.jpg
12,"Shinmai Ossan Boukensha, Saikyou Party ni Shinu hodo Kitaerarete Muteki ni Naru.","The Ossan Newbie Adventurer, Trained to Death by the Most Powerful Party, Became Invincible",Tris  (トリス),Member Favorites: 0,
13,Fairy Tail: 100-nen Quest,Fairy Tail: 100 Years Quest,Gajeel Redfox (ガジル・レッドフォックス),"Member Favorites: 2,682",https://cdn.myanimelist.net/images/characters/5/99350.jpg
14,Isekai Suicide Squad,Suicide Squad Isekai,Cecil  (セシル),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/537980.jpg
15,Maougun Saikyou no Majutsushi wa Ningen datta,The Strongest Magician in the Demon Lord's Army Was a Human,Gamos  (ガモス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/559114.jpg
16,2.5-jigen no Ririsa,2.5 Dimensional Seduction,Eri  (エリ),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/2/558009.jpg
17,Naze Boku no Sekai wo Daremo Oboeteinai no ka?,Why Does Nobody Remember Me in This World?,Great Elder  (大長老),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/9/560802.jpg
18,Shoushimin Series,Shoshimin: How to Become Ordinary,Hayashi  (林),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/11/560806.jpg
19,NieR:Automata Ver1.1a Part 2,NieR:Automata Ver1.1a (Cour 2),Adam  (アダム),Member Favorites: 11,https://cdn.myanimelist.net/images/characters/11/342562.jpg
20,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen Season II",Our Last Crusade or the Rise of a New World Season 2,Elletear Lou Nebulis IX ( イリーティア・ルゥ・ネビュリス9世),Member Favorites: 7,https://cdn.myanimelist.net/images/characters/16/426147.jpg
21,Katsute Mahou Shoujo to Aku wa Tekitai shiteita.,The Magical Girl and the Evil Lieutenant Used to Be Archenemies,Betelgeuse  (ベテルギウス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/2/563928.jpg
22,Isekai Yururi Kikou: Kosodateshinagara Boukensha Shimasu,A Journey Through Another World: Raising Kids While Adventuring,Granvault Lowain (グランヴァルト・ルーウェン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/555547.jpg
23,Senpai wa Otokonoko,Senpai is an Otokonoko,Miki Taiga (大我 未希),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/559984.jpg
24,Atri: My Dear Moments,Atri -My Dear Moments-,Yasuda  (ヤスダ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/2/562117.jpg
25,Mob kara Hajimaru Tansaku Eiyuutan,A Nobody's Way Up to an Exploration Hero,Titania  (ティターニア),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/10/562088.jpg
26,Megami no Café Terrace 2nd Season,The Café Terrace and Its Goddesses Season 2,Mao Takasaki (高崎 舞乙),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/9/549197.jpg
27,Madougushi Dahliya wa Utsumukanai,Dahlia in Bloom: Crafting a Fresh Start with Magical Tools,Augusto Scarlatti (アウグスト・スカルラッティ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/574693.jpg
28,VTuber Nandaga Haishin Kiri Wasuretara Densetsu ni Natteta,VTuber Legend: How I Went Viral after Forgetting to Turn Off My Stream,Alice Souma (相馬 有素),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/12/551872.jpg
29,Koi wa Futago de Warikirenai,Love Is Indivisible by Twins,Reito Furuma (古間怜人),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/561845.jpg
30,"Bye Bye, Earth",,Tiziano  (ティツィアーノ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/559298.jpg
31,Boku no Tsuma wa Kanjou ga Nai,My Wife Has No Emotion,John  (ジョン),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/562127.jpg
32,Mayonaka Punch,,Minister of Daifuku  (だいふく大臣),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/559978.jpg
33,Delico's Nursery,,Klaus  (クラウス),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/12/568423.jpg
34,Tasogare Out Focus,Twilight Out of Focus,Isao Tsuchiya (土谷 功緒),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/6/557925.jpg
35,Kono Sekai wa Fukanzen Sugiru,Quality Assurance in Another World,Imai  (今井),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/559320.jpg
36,Elf-san wa Yaserarenai.,Plus-Sized Elf,Ooeda  (大江田),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/3/562091.jpg
37,Dungeon no Naka no Hito,Dungeon People,Algred  (アルグレド),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/561435.jpg
38,Na Nare Hana Nare,Narenare -Cheer for You!-,Lala Banka (番家 らら),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/559038.jpg
39,Shy 2nd Season,Shy Season 2,Stigma  (スティグマ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/6/521573.jpg
40,Sengoku Youko: Senma Konton-hen,Sengoku Youko 2nd Season,Nau  (なう),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/4/557246.jpg
41,Tasuuketsu,Tasuketsu: Fate of the Majority,Meguru Tsukioka (月岡 めぐる),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/10/563066.jpg
42,Tensui no Sakuna-hime,Sakuna: Of Rice and Ruin,Yui  (ゆい),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/550354.jpg
43,Ramen Akaneko,,Teru Tajima (但馬 照),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/9/559182.jpg
44,0-saiji Start Dash Monogatari,0 Years Old Child Starting Dash Story,Yesla  (イェスラ),Member Favorites: 0,
45,Kinnikuman: Kanpeki Chоujin Shiso-hen,Kinnikuman: Perfect Origin Arc,Akuma Shougun  (悪魔将軍),Member Favorites: 5,https://cdn.myanimelist.net/images/characters/16/422090.jpg
46,Grendizer U,,Cassado Zeola Whiter (カサド・ゼオラ・ホワイター),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/560558.jpg
47,Yami Shibai 13,Theatre of Darkness: Yamishibai 13,Storyteller  (紙芝居屋),Member Favorites: 72,https://cdn.myanimelist.net/images/characters/4/259167.jpg
48,Cardfight!! Vanguard: Divinez Season 2,Cardfight!! Vanguard Divinez Season 2,Taizou Kiyokura (清蔵 タイゾウ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/14/570793.jpg
49,Maarui Kanojo to Zannen na Kareshi,,Rina Kanzaki (神崎 里奈),Member Favorites: 0,
50,Mirai no Kuromaku-kei Akuyaku Reijou Moriarty no Isekai Kanzen Hanzai Hakusho,,Porgrette Whey Cochon (ポーグレット=ホエイ=コション),Member Favorites: 0,
51,Egumi Legacy,,Wizard  (ウィザード),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/2/555780.jpg
52,Nanashi Kaidan 3rd Season,,,,
53,Yongisanda,The Dragon Next Door,,,
54,Naoe-kun wa Yasesasetai.,,Hitome  (一目),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/15/553276.jpg
55,Jochum,,Chimata  (ちまた),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/556323.jpg
56,Harimaware! Koinu 2nd Season,,Shaking Dog  (犬さわぎシェイキン),Member Favorites: 0,
57,Gendai Goyaku,Modern Mistranslation,Kyuusaku Saikawa (犀川 久作),Member Favorites: 0,
58,Ohayou! Unko-sensei,,,,
59,Warau Red List,,,,
60,One Piece,,Jinbe  (ジンベエ),"Member Favorites: 4,179",https://cdn.myanimelist.net/images/characters/15/307148.jpg
61,Tensei shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,Souei  (ソウエイ),Member Favorites: 592,https://cdn.myanimelist.net/images/characters/6/360791.jpg
62,Boku no Hero Academia 7th Season,My Hero Academia Season 7,Tsuyu Asui (蛙吹 梅雨),"Member Favorites: 4,673",https://cdn.myanimelist.net/images/characters/10/299409.jpg
63,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,873",https://cdn.myanimelist.net/images/characters/3/208069.jpg
64,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Spice and Wolf: Merchant Meets the Wise Wolf,Elsa Schtingheim (エルサ・シュティングハイム),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/3/562994.jpg
65,Yozakura-san Chi no Daisakusen,Mission: Yozakura Family,Sui Aoi (蒼 翠),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/6/543966.jpg
66,Crayon Shin-chan,Shin Chan,Ume Matsuzaka (まつざか 梅),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/312257.jpg
67,Sasayaku You ni Koi wo Utau,Whisper Me a Love Song,Kyou Amasawa (天沢 キョウ),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/6/551284.jpg
