,jp_title,en_title,char_name,fav,img
0,Kimetsu no Yaiba: Hashira Geiko-hen,Demon Slayer: Kimetsu no Yaiba Hashira Training Arc,Muichirou Tokitou (時透 無一郎),"Member Favorites: 3,713",https://cdn.myanimelist.net/images/characters/5/464903.jpg
1,Kaijuu 8-gou,Kaiju No. 8,Isao Shinomiya (四ノ宮 功),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/10/548007.jpg
2,Kono Subarashii Sekai ni Shukufuku wo! 3,KonoSuba: God's Blessing on This Wonderful World! 3,Chris  (クリス),Member Favorites: 232,https://cdn.myanimelist.net/images/characters/15/277949.jpg
3,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Season 2 Part 2,Zanoba Shirone (ザノバ・シーローン),Member Favorites: 99,https://cdn.myanimelist.net/images/characters/14/277227.jpg
4,Tensei shitara Slime Datta Ken 3rd Season,That Time I Got Reincarnated as a Slime Season 3,Souei  (ソウエイ),Member Favorites: 592,https://cdn.myanimelist.net/images/characters/6/360791.jpg
5,Boku no Hero Academia 7th Season,My Hero Academia Season 7,Tsuyu Asui (蛙吹 梅雨),"Member Favorites: 4,673",https://cdn.myanimelist.net/images/characters/10/299409.jpg
6,Wind Breaker,,Mitsuki Kiryuu (桐生 三輝),Member Favorites: 32,https://cdn.myanimelist.net/images/characters/10/460919.jpg
7,Ookami to Koushinryou: Merchant Meets the Wise Wolf,Spice and Wolf: Merchant Meets the Wise Wolf,Elsa Schtingheim (エルサ・シュティングハイム),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/3/562994.jpg
8,"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",I Was Reincarnated as the 7th Prince so I Can Take My Time Perfecting My Magical Ability,Alieze de Saloum (アリーゼ・ディ・サルーム),Member Favorites: 4,https://cdn.myanimelist.net/images/characters/2/541052.jpg
9,Lv2 kara Cheat datta Motoyuusha Kouho no Mattari Isekai Life,Chillin' in Another World with Level 2 Super Cheat Powers,Tsuya  (ツーヤ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/2/535543.jpg
10,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",The Misfit of Demon King Academy II Part 2,Golroana Delo Jiordal (ゴルロアナ・デロ・ジオルダル),Member Favorites: 42,https://cdn.myanimelist.net/images/characters/2/528288.jpg
11,"Maou no Ore ga Dorei Elf wo Yome ni Shitanda ga, Dou Medereba Ii?",An Archdemon's Dilemma: How to Love Your Elf Bride,Kimaris  (キメリエス),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/548068.jpg
