,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Theme,Synonyms,Genre,German,Spanish,French
15,2023,winter,Kubo-san wa Mob wo Yurusanai,Kubo Won't Let Me Be Invisible,https://cdn.myanimelist.net/images/anime/1818/132330.jpg,久保さんは僕を許さない,Kubo Won't Let Me Be Invisible,TV,12,Finished Airing,"Jan 10, 2023 to Jun 20, 2023",Winter 2023,Tuesdays at 21,"Pony Canyon,       AT-X,       Tokyo MX,       Glovision,       Shueisha,       bilibili,       Kadokawa,       R11R",Sentai Filmworks,PINE JAM,Manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older,"7.551 (scored by 8923489,234 users)
      


1
          indicates a weighted score.","#17492

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1144,"226,739","1,642",,"Kubo-san wa Boku wo Yurusanai, Kubo-san Doesn't Leave Me Be (a Mob)",,,,
16,2023,winter,Tensei Oujo to Tensai Reijou no Mahou Kakumei,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,https://cdn.myanimelist.net/images/anime/1053/129004.jpg,転生王女と天才令嬢の魔法革命,The Magical Revolution of the Reincarnated Princess and the Genius Young Lady,TV,12,Finished Airing,"Jan 4, 2023 to Mar 22, 2023",Winter 2023,Wednesdays at 21,"AT-X,       Kansai Telecasting,       Kadokawa,       Bit grooove promotion,       CTW,       TVA advance","None found, add some",Diomedéa,Light novel,"FantasyFantasy,         Girls LoveGirls Love","IsekaiIsekai,         ReincarnationReincarnation",,23 min. per ep.,PG-13 - Teens 13 or older,"7.471 (scored by 9913299,132 users)
      


1
          indicates a weighted score.","#20802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1236,"208,180","1,638",,"Tenten Kakumei, MagiRevo",,,,
17,2023,winter,Trigun Stampede,,https://cdn.myanimelist.net/images/anime/1426/129194.jpg,TRIGUN STAMPEDE,Trigun Stampede,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",Winter 2023,Saturdays at 23,TOHO,"None found, add some",Orange,Manga,"ActionAction,         AdventureAdventure,         Sci-FiSci-Fi",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.831 (scored by 7830278,302 users)
      


1
          indicates a weighted score.","#9672

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1245,"206,544","2,390",Adult CastAdult Cast,,,,,
18,2023,winter,"Benriya Saitou-san, Isekai ni Iku",Handyman Saitou in Another World,https://cdn.myanimelist.net/images/anime/1805/132335.jpg,便利屋斎藤さん、異世界に行く,Handyman Saitou in Another World,TV,12,Finished Airing,"Jan 8, 2023 to Mar 26, 2023",Winter 2023,Sundays at 22,"AT-X,       BS NTV,       Kadokawa,       GREE Entertainment",Crunchyroll,C2C,Web manga,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.391 (scored by 9119691,196 users)
      


1
          indicates a weighted score.","#24202

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1292,"197,644",768,IsekaiIsekai,,,,,
19,2023,winter,Hyouken no Majutsushi ga Sekai wo Suberu,The Iceblade Sorcerer Shall Rule the World,https://cdn.myanimelist.net/images/anime/1049/131580.jpg,冰剣の魔術師が世界を統べる,The Iceblade Sorcerer Shall Rule the World,TV,12,Finished Airing,"Jan 6, 2023 to Mar 24, 2023",Winter 2023,Fridays at 01,"Pony Canyon,       TBS,       Kodansha,       BS11,       Crunchyroll,       DMM.com,       Nichion,       NichiNare,       Yokohama Animation Laboratory,       Bit grooove promotion","None found, add some",Cloud Hearts,Light novel,"ActionAction,         FantasyFantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"6.351 (scored by 9092990,929 users)
      


1
          indicates a weighted score.","#79932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1341,"190,323",808,SchoolSchool,,,,,
20,2023,winter,Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,https://cdn.myanimelist.net/images/anime/1446/131578.jpg,人間不信の冒険者たちが世界を救うようです,Ningen Fushin,TV,12,Finished Airing,"Jan 10, 2023 to Mar 28, 2023",Winter 2023,Tuesdays at 23,"Frontier Works,       Pony Canyon,       Studio Mausu,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Geek Pictures",Crunchyroll,Geek Toys,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.331 (scored by 7813178,131 users)
      


1
          indicates a weighted score.","#81222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1366,"187,793",699,,"Apparently, Disillusioned Adventurers Will Save the World",,,,
21,2023,winter,Kyokou Suiri Season 2,In/Spectre 2,https://cdn.myanimelist.net/images/anime/1901/131653.jpg,虚構推理 Season2,In/Spectre 2,TV,12,Finished Airing,"Jan 9, 2023 to Mar 27, 2023",Winter 2023,Mondays at 01,"Nihon Ad Systems,       Kodansha,       KlockWorx,       Docomo Anime Store,       King Records,       Crunchyroll,       BS NTV,       Mixi,       Studio Tenjin","None found, add some",Brain's Base,Manga,"MysteryMystery,         RomanceRomance,         SupernaturalSupernatural","Adult CastAdult Cast,         MythologyMythology",ShounenShounen,25 min. per ep.,R - 17+ (violence & profanity),"7.361 (scored by 5091450,914 users)
      


1
          indicates a weighted score.","#25312

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1457,"172,777",591,,"In/Spectre 2nd Season, Kyokou Suiri 2nd Season",,,,
22,2023,winter,Oniichan wa Oshimai!,Onimai: I'm Now Your Sister!,https://cdn.myanimelist.net/images/anime/1058/131632.jpg,お兄ちゃんはおしまい！,Onimai,TV,12,Finished Airing,"Jan 5, 2023 to Mar 23, 2023",Winter 2023,Thursdays at 23,"Pony Canyon,       Movic,       AT-X,       TOHO animation,       Tokyo MX,       Hakuhodo DY Music & Pictures,       BS11,       Egg Firm,       Ichijinsha,       Bit grooove promotion,       Pia,       Toho Music","None found, add some",Studio Bind,Manga,,"CGDCTCGDCT,         Magical Sex ShiftMagical Sex Shift,         SchoolSchool",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.651 (scored by 7961979,619 users)
      


1
          indicates a weighted score.","#14352

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1507,"167,368","2,384",,"Onimai, Onii-chan is Done For",ComedyComedy,,,
23,2023,winter,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life,Chillin' in My 30s after Getting Fired from the Demon King's Army,https://cdn.myanimelist.net/images/anime/1224/132328.jpg,解雇された暗黒兵士（30代）のスローなセカンドライフ,Chillin' in My 30s after Getting Fired from the Demon King's Army,TV,12,Finished Airing,"Jan 7, 2023 to Mar 25, 2023",Winter 2023,Saturdays at 22,"Pony Canyon,       Kodansha,       bilibili,       Good Smile Film,       Bit grooove promotion",Crunchyroll,Encourage Films,Light novel,"ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.011 (scored by 8090880,908 users)
      


1
          indicates a weighted score.","#43262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1515,"166,854",559,,,,,,
24,2023,winter,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi♀",Reborn to Master the Blade: From Hero-King to Extraordinary Squire ♀,https://cdn.myanimelist.net/images/anime/1044/129594.jpg,英雄王、武を極めるため転生す ～そして、世界最強の見習い騎士♀～,Reborn to Master the Blade,TV,12,Finished Airing,"Jan 10, 2023 to Mar 28, 2023",Winter 2023,Tuesdays at 01,"MediaNet,       Nippon Columbia,       KlockWorx,       Hobby Japan,       My Theater D.D.,       Muse Communication,       AQUA ARIS,       Bit grooove promotion,       CTW","None found, add some",Studio Comet,Light novel,"ActionAction,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.561 (scored by 7430574,305 users)
      


1
          indicates a weighted score.","#67192

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1541,"162,816",628,ReincarnationReincarnation,,,,,
