,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Theme,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,German,Spanish,French
14,2024,spring,Re:Monster,,https://cdn.myanimelist.net/images/anime/1523/141680.jpg,Re,Re,TV,12,Finished Airing,"Apr 5, 2024 to Jun 21, 2024",Spring 2024,Fridays at 00,"Genco,       Pony Canyon,       BS11,       Crunchyroll,       U-NEXT,       Muse Communication,       AlphaPolis,       Saber Links,       HIAN,       Studio Tronc,       Capibara","None found, add some",Studio Deen,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,R - 17+ (violence & profanity),"6.551 (scored by 8038480,384 users)
      


1
          indicates a weighted score.","#67782

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1586,"157,411",478,ReMonster,"IsekaiIsekai,         ReincarnationReincarnation",,,,
15,2024,spring,Mahouka Koukou no Rettousei 3rd Season,The Irregular at Magic High School Season 3,https://cdn.myanimelist.net/images/anime/1100/142255.jpg,魔法科高校の劣等生 第3シーズン,The Irregular at Magic High School Season 3,TV,13,Finished Airing,"Apr 5, 2024 to Jun 28, 2024",Spring 2024,Fridays at 23,"Aniplex,       Square Enix,       Movic,       Straight Edge,       Kadokawa",Aniplex of America,8bit,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance,         Sci-FiSci-Fi",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.041 (scored by 4451444,514 users)
      


1
          indicates a weighted score.","#41802

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1742,"138,696",472,,"SchoolSchool,         Urban FantasyUrban Fantasy",,,,
16,2024,spring,Unnamed Memory,,https://cdn.myanimelist.net/images/anime/1143/142439.jpg,Unnamed Memory,Unnamed Memory,TV,12,Finished Airing,"Apr 9, 2024 to Jun 25, 2024",Spring 2024,Tuesdays at 23,"AT-X,       Glovision,       Sammy,       Tencent Japan,       Kadokawa,       Heart Company,       Bandai Namco Music Live","None found, add some",ENGI,Light novel,"AdventureAdventure,         FantasyFantasy,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.731 (scored by 4792647,926 users)
      


1
          indicates a weighted score.","#57112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1782,"134,832",611,,,,,,
17,2024,spring,Jiisan Baasan Wakagaeru,Grandpa and Grandma Turn Young Again,https://cdn.myanimelist.net/images/anime/1676/141714.jpg,じいさんばあさん若返る,Grandpa and Grandma Turn Young Again,TV,11,Finished Airing,"Apr 7, 2024 to Jun 16, 2024",Spring 2024,Sundays at 23,"AT-X,       Nippon Columbia,       On-Lead,       Kadokawa","None found, add some",Gekkou,Web manga,"ComedyComedy,         RomanceRomance,         SupernaturalSupernatural",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.471 (scored by 4420844,208 users)
      


1
          indicates a weighted score.","#20842

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1811,"132,449",544,"Ojiisan to Obaasan ga Wakagaetta Hanashi, A Story About a Grandpa and Grandma Who Returned Back to Their Youth",,,,,
18,2024,spring,The New Gate,,https://cdn.myanimelist.net/images/anime/1898/141857.jpg,THE NEW GATE,The New Gate,TV,12,Finished Airing,"Apr 14, 2024 to Jun 30, 2024",Spring 2024,Sundays at 01,"Mainichi Broadcasting System,       KlockWorx,       King Records,       MAGNET,       CTW,       AlphaPolis,       Studio Bus","None found, add some","Yokohama Animation Laboratory,       Cloud Hearts",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",IsekaiIsekai,,23 min. per ep.,PG-13 - Teens 13 or older,"6.441 (scored by 5695456,954 users)
      


1
          indicates a weighted score.","#74862

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1880,"125,782",372,,,,,,
19,2024,spring,Yozakura-san Chi no Daisakusen,Mission: Yozakura Family,https://cdn.myanimelist.net/images/anime/1674/143715.jpg,夜桜さんちの大作戦,Mission,TV,27,Finished Airing,"Apr 7, 2024 to Oct 6, 2024",Spring 2024,Sundays at 17,"Pierrot,       Mainichi Broadcasting System,       NBCUniversal Entertainment Japan,       Shueisha,       JR East Marketing & Communications","None found, add some",SILVER LINK.,Manga,"ActionAction,         ComedyComedy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.551 (scored by 3541535,415 users)
      


1
          indicates a weighted score.","#17872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1881,"125,675",605,Mission of Yozakura Family,,,,,
20,2024,spring,Date A Live V,,https://cdn.myanimelist.net/images/anime/1659/141438.jpg,デート・ア・ライブⅤ,Date A Live V,TV,12,Finished Airing,"Apr 10, 2024 to Jun 26, 2024",Spring 2024,Wednesdays at 23,"AT-X,       Nippon Columbia,       Docomo Anime Store,       Kadokawa Media House,       Kadokawa,       Geek Pictures","None found, add some",Geek Toys,Light novel,"ActionAction,         FantasyFantasy,         RomanceRomance,         Sci-FiSci-Fi",,,23 min. per ep.,R - 17+ (violence & profanity),"7.691 (scored by 3925039,250 users)
      


1
          indicates a weighted score.","#13282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1913,"123,157","1,310","Date A Live 5, Date A Live Fifth Season, DAL 5","HaremHarem,         SchoolSchool,         Urban FantasyUrban Fantasy",,,,
21,2024,spring,Bartender: Kami no Glass,Bartender Glass of God,https://cdn.myanimelist.net/images/anime/1462/142547.jpg,バーテンダー 神のグラス,Bartender Glass of God,TV,12,Finished Airing,"Apr 4, 2024 to Jun 20, 2024",Spring 2024,Thursdays at 00,"TV Tokyo,       TOHO animation,       Crunchyroll,       NetEase","None found, add some",Liber,Manga,"DramaDrama,         GourmetGourmet",,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.381 (scored by 4388643,886 users)
      


1
          indicates a weighted score.","#24392

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1942,"120,092",479,,"Adult CastAdult Cast,         WorkplaceWorkplace",,,,
22,2024,spring,Yoru no Kurage wa Oyogenai,Jellyfish Can't Swim in the Night,https://cdn.myanimelist.net/images/anime/1834/141827.jpg,夜のクラゲは泳げない,Jellyfish Can't Swim in the Night,TV,12,Finished Airing,"Apr 7, 2024 to Jun 23, 2024",Spring 2024,Sundays at 01,"Movic,       KlockWorx,       Asmik Ace,       Tohokushinsha Film Corporation,       King Records,       Kansai Telecasting,       BS11",Sentai Filmworks,Doga Kobo,Original,,MusicMusic,,23 min. per ep.,PG-13 - Teens 13 or older,"7.771 (scored by 4415744,157 users)
      


1
          indicates a weighted score.","#11092

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1988,"117,271",895,Yorukura,,DramaDrama,,,
23,2024,spring,Hananoi-kun to Koi no Yamai,A Condition Called Love,https://cdn.myanimelist.net/images/anime/1646/141411.jpg,花野井くんと恋の病,A Condition Called Love,TV,12,Finished Airing,"Apr 4, 2024 to Jun 20, 2024",Spring 2024,Thursdays at 23,"TBS,       Kodansha,       Good Smile Company,       Crunchyroll,       DMM.com","None found, add some",East Fish Studio,Manga,,SchoolSchool,ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"6.751 (scored by 4137041,370 users)
      


1
          indicates a weighted score.","#56042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1990,"117,048",520,I'm Addicted to You.,,RomanceRomance,,,
