,jp_title,en_title,char_name,fav,img
58,Mazica Party,,Disco  (ディスコウ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/14/436833.jpg
59,Okashi na Sabaku no Suna to Manu,,Suna  (スナ),Member Favorites: 0,
60,Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season,,Shinji Aokiyama (青木山しんじ / ジャケット紳士),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/3/414456.jpg
61,Kamiusagi Rope: Warau Asa ni wa Fukuraitaru tte Maji ssuka!?,,Kanako  (夏菜子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/15/575733.jpg
62,Shiawase Haitatsu Taneko,,,,
63,Uchuu Nanchara Kotetsu-kun,Space Academy,Niko  (ニコ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/4/436984.jpg
64,Kaoru no Taisetsu na Mono,,Satoru  (サトル),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/467495.jpg
65,Manul no Yuube,,,,
66,Utau Soccer Panda Mifanda,,,,
67,Shin Nippon History,,,,
68,Kintamani Dog,,,,
69,Ma-eum-uisoli Season 3,The Sound of Your Heart: Season 3,,,
70,In:App,,,,
