,jp_title,en_title,char_name,fav,img
48,Gunma-chan,,Mimi's Father  (みーみのパパ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/6/499958.jpg
49,Shuumatsu no Walküre Mini Anime (Cartoon Network Nite),Record of Ragnarok Mini Anime (Cartoon Network Nite),,,
50,Yoshida Katsuko no Yabai wa! SDGs: Araburu! Trouble! Sustainable!,,President  (総統),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/7/526287.jpg
51,Banjjagbanjjag Catch! Tiniping,Twinkle Catch! Tiniping,Romi  (로미),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/13/559488.jpg
52,One Piece,,Jinbe  (ジンベエ),"Member Favorites: 4,180",https://cdn.myanimelist.net/images/characters/15/307148.jpg
53,Boruto: Naruto Next Generations,,Gaara  (我愛羅),"Member Favorites: 13,088",https://cdn.myanimelist.net/images/characters/10/293375.jpg
54,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,873",https://cdn.myanimelist.net/images/characters/3/208069.jpg
55,Shaman King (2021),,Lyserg Diethel (リゼルグ・ダイゼル),Member Favorites: 103,https://cdn.myanimelist.net/images/characters/7/110874.jpg
56,Jahy-sama wa Kujikenai!,The Great Jahy Will Not Be Defeated!,Uncle Magical Girl  (おっさん魔法少女),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/9/476969.jpg
57,Shiroi Suna no Aquatope,The Aquatope on White Sand,Marina Yonekura (米倉 マリナ),Member Favorites: 2,https://cdn.myanimelist.net/images/characters/6/472789.jpg
58,Scarlet Nexus,,Gemma Garrison (ゲンマ・ギャリソン),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/5/442658.jpg
59,Crayon Shin-chan,Shin Chan,Ume Matsuzaka (まつざか 梅),Member Favorites: 8,https://cdn.myanimelist.net/images/characters/11/312257.jpg
60,Dragon Quest: Dai no Daibouken (2020),Dragon Quest: The Adventure of Dai,Vearn  (バーン),Member Favorites: 9,https://cdn.myanimelist.net/images/characters/11/545516.jpg
61,Maiko-san Chi no Makanai-san,Kiyo in Kyoto: From the Maiko House,Momoko  (百子),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/5/469962.jpg
62,Yu☆Gi☆Oh! Sevens,Yu-Gi-Oh! Sevens,Nanaho Nanahoshi (七星 ナナホ),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/16/495474.jpg
63,Tropical-Rouge! Precure,Tropical-Rouge! Pretty Cure,Yuriko Shiratori (白鳥百 合子),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/10/438290.jpg
64,Sazae-san,Mrs. Sazae,Ikura Namino (波野 イクラ),Member Favorites: 0,https://cdn.myanimelist.net/images/characters/12/568770.jpg
65,Tsukipro The Animation 2,,Tsubasa Okui (奥井 翼),Member Favorites: 12,https://cdn.myanimelist.net/images/characters/3/327690.jpg
66,Chibi Maruko-chan (1995),Little Miss Maruko,Sueo Maruo (丸尾 末男),Member Favorites: 1,https://cdn.myanimelist.net/images/characters/11/369533.jpg
