,test,Unnamed: 0,jp_title,en_title,char_name,fav,img,colors
17,17,17,Horimiya,,Remi Ayasaki (綾崎 レミ),Member Favorites: 403,https://cdn.myanimelist.net/images/characters/8/422261.jpg,"[[254, 254, 254], [174, 169, 166], [62, 60, 164], [146, 150, 239], [198, 218, 248], [16, 16, 44], [102, 96, 235], [37, 37, 113], [88, 90, 100], [126, 130, 148]]"
18,18,18,Horimiya,,Tooru Ishikawa (石川 透),Member Favorites: 400,https://cdn.myanimelist.net/images/characters/6/424144.jpg,"[[119, 88, 124], [183, 217, 248], [219, 193, 212], [45, 35, 45], [138, 105, 145], [88, 71, 77], [130, 174, 219], [240, 239, 241], [169, 131, 172], [188, 186, 191]]"
19,19,19,Horimiya,,Sakura Kouno (河野 桜),Member Favorites: 354,https://cdn.myanimelist.net/images/characters/6/424146.jpg,"[[33, 100, 79], [194, 218, 247], [151, 234, 226], [65, 58, 59], [156, 173, 191], [17, 33, 27], [74, 144, 131], [96, 80, 74], [23, 68, 53], [241, 241, 241]]"
20,20,20,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Rudeus Greyrat (ルーデウス・グレイラット),"Member Favorites: 10,221",https://cdn.myanimelist.net/images/characters/2/423667.jpg,"[[254, 254, 254], [55, 69, 92], [103, 151, 198], [36, 36, 40], [178, 214, 250], [148, 151, 158], [86, 111, 138], [220, 232, 244], [169, 184, 198], [52, 56, 146]]"
21,21,21,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Roxy Migurdia (ロキシー・ミグルディア),"Member Favorites: 9,320",https://cdn.myanimelist.net/images/characters/16/552605.jpg,"[[117, 86, 83], [238, 243, 245], [96, 136, 170], [156, 163, 172], [58, 59, 62], [193, 132, 118], [69, 93, 118], [183, 207, 241], [114, 165, 205], [32, 31, 33]]"
22,22,22,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Eris Boreas Greyrat (エリス・ボレアス・グレイラット),"Member Favorites: 6,158",https://cdn.myanimelist.net/images/characters/14/324594.jpg,"[[145, 180, 245], [250, 253, 254], [48, 33, 128], [133, 149, 176], [198, 230, 250], [78, 74, 187], [178, 192, 214], [78, 98, 129], [17, 16, 57], [106, 120, 216]]"
23,23,23,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Sylphiette  (シルフィエット),"Member Favorites: 3,018",https://cdn.myanimelist.net/images/characters/10/423669.jpg,"[[253, 254, 254], [52, 82, 68], [97, 176, 138], [170, 192, 196], [64, 61, 159], [185, 220, 249], [24, 29, 32], [136, 150, 163], [84, 125, 109], [230, 244, 250]]"
24,24,24,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Orsted  (オルステッド),Member Favorites: 769,https://cdn.myanimelist.net/images/characters/2/457289.jpg,"[[138, 171, 243], [42, 53, 90], [94, 108, 159], [26, 33, 56], [126, 148, 215], [11, 18, 38], [76, 77, 114], [112, 130, 190], [49, 64, 109], [35, 43, 73]]"
25,25,25,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Ruijerd Superdia (ルイジェルド・スペルディア),Member Favorites: 742,https://cdn.myanimelist.net/images/characters/16/490046.jpg,"[[15, 14, 14], [147, 153, 158], [91, 85, 73], [97, 91, 93], [67, 76, 82], [50, 50, 51], [26, 26, 27], [153, 159, 163], [109, 104, 107], [136, 141, 145]]"
26,26,26,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Ghislaine Dedoldia (ギレーヌ・デドルディア),Member Favorites: 633,https://cdn.myanimelist.net/images/characters/8/457999.jpg,"[[166, 182, 195], [91, 102, 115], [235, 230, 220], [89, 122, 174], [216, 169, 114], [36, 47, 70], [124, 133, 140], [68, 78, 91], [111, 140, 185], [144, 161, 176]]"
