,test,Unnamed: 0,jp_title,en_title,char_name,fav,img,colors
3039,3039,412,Meitantei Conan,Case Closed,Ai Haibara (灰原 哀),"Member Favorites: 2,544",https://cdn.myanimelist.net/images/characters/14/146141.jpg,"[[183, 209, 250], [65, 111, 153], [37, 53, 58], [16, 8, 204], [233, 239, 238], [98, 110, 88], [128, 169, 209], [15, 6, 128], [5, 5, 7], [44, 76, 108]]"
3040,3040,413,Meitantei Conan,Case Closed,Ran Mouri (毛利 蘭),Member Favorites: 946,https://cdn.myanimelist.net/images/characters/4/308335.jpg,"[[33, 42, 52], [136, 167, 208], [162, 200, 251], [113, 118, 131], [84, 92, 103], [233, 230, 231], [57, 66, 78], [137, 129, 212], [137, 141, 152], [182, 208, 243]]"
3041,3041,414,Meitantei Conan,Case Closed,Kogorou Mouri (毛利 小五郎),Member Favorites: 568,https://cdn.myanimelist.net/images/characters/3/146129.jpg,"[[197, 182, 99], [163, 201, 249], [39, 40, 47], [249, 251, 250], [79, 79, 100], [154, 116, 123], [124, 161, 203], [216, 208, 201], [191, 160, 84], [6, 9, 15]]"
3042,3042,415,Meitantei Conan,Case Closed,Hiroshi Agasa (阿笠 博士),Member Favorites: 78,https://cdn.myanimelist.net/images/characters/6/146131.jpg,"[[238, 236, 236], [80, 105, 145], [185, 109, 61], [24, 34, 46], [159, 218, 250], [147, 150, 156], [96, 125, 168], [64, 75, 90], [9, 5, 14], [108, 46, 19]]"
3043,3043,416,Meitantei Conan,Case Closed,Ayumi Yoshida (吉田 歩美),Member Favorites: 60,https://cdn.myanimelist.net/images/characters/5/146209.jpg,"[[5, 16, 39], [169, 213, 252], [39, 95, 147], [88, 161, 253], [6, 60, 110], [241, 252, 253], [205, 210, 213], [96, 122, 155], [52, 71, 93], [142, 173, 220]]"
3044,3044,417,Meitantei Conan,Case Closed,Mitsuhiko Tsuburaya (円谷 光彦),Member Favorites: 41,https://cdn.myanimelist.net/images/characters/15/146211.jpg,"[[39, 47, 59], [157, 200, 246], [113, 128, 140], [194, 212, 232], [145, 160, 195], [149, 123, 85], [239, 241, 238], [5, 7, 16], [71, 84, 106], [72, 160, 180]]"
3045,3045,418,Meitantei Conan,Case Closed,Genta Kojima (小嶋 元太),Member Favorites: 34,https://cdn.myanimelist.net/images/characters/12/238943.jpg,"[[135, 149, 52], [117, 108, 211], [32, 34, 41], [92, 204, 238], [244, 248, 246], [62, 169, 97], [82, 98, 130], [84, 49, 40], [89, 216, 142], [130, 160, 210]]"
3046,3046,419,Meitantei Conan,Case Closed,Kaito Kuroba (黒羽 快斗),"Member Favorites: 4,189",https://cdn.myanimelist.net/images/characters/6/279396.jpg,"[[150, 135, 125], [225, 232, 227], [14, 12, 18], [102, 73, 55], [153, 192, 232], [101, 129, 164], [60, 42, 34], [190, 187, 177], [139, 96, 76], [46, 125, 207]]"
3047,3047,420,Meitantei Conan,Case Closed,Shuuichi Akai (赤井 秀一),"Member Favorites: 1,874",https://cdn.myanimelist.net/images/characters/3/208069.jpg,"[[85, 71, 44], [127, 186, 206], [16, 10, 1], [244, 245, 238], [63, 46, 23], [188, 228, 239], [22, 61, 69], [92, 126, 131], [194, 207, 200], [149, 164, 158]]"
3193,3193,0,Spy x Family,,Anya Forger (アーニャ・フォージャー),"Member Favorites: 14,899",https://cdn.myanimelist.net/images/characters/4/457933.jpg,"[[63, 69, 125], [252, 254, 254], [163, 166, 243], [64, 70, 78], [20, 24, 72], [97, 93, 169], [14, 12, 20], [211, 228, 251], [179, 188, 248], [139, 148, 184]]"
3194,3194,1,Spy x Family,,Yor Forger (ヨル・フォージャー),"Member Favorites: 11,259",https://cdn.myanimelist.net/images/characters/11/457934.jpg,"[[108, 117, 147], [213, 234, 251], [29, 22, 32], [253, 254, 254], [121, 175, 193], [40, 38, 40], [14, 7, 14], [73, 89, 108], [174, 199, 213], [42, 44, 66]]"
3195,3195,2,Spy x Family,,Loid Forger (ロイド・フォージャー),"Member Favorites: 6,093",https://cdn.myanimelist.net/images/characters/2/457747.jpg,"[[254, 254, 254], [85, 95, 78], [19, 22, 23], [165, 205, 221], [213, 238, 250], [101, 122, 144], [41, 61, 113], [47, 52, 48], [131, 155, 175], [100, 113, 94]]"
3196,3196,3,Spy x Family,,Bond Forger (ボンド・フォージャー),"Member Favorites: 1,066",https://cdn.myanimelist.net/images/characters/6/490843.jpg,"[[228, 240, 243], [42, 44, 52], [162, 171, 175], [254, 254, 254], [113, 124, 130], [194, 204, 207], [76, 85, 92], [144, 155, 160], [216, 228, 231], [178, 186, 189]]"
3197,3197,4,Spy x Family,,Damian Desmond (ダミアン・デズモンド),Member Favorites: 313,https://cdn.myanimelist.net/images/characters/14/528424.jpg,"[[30, 38, 46], [225, 238, 252], [125, 105, 149], [58, 71, 79], [149, 181, 211], [48, 56, 66], [126, 152, 163], [77, 98, 118], [68, 55, 83], [195, 214, 227]]"
3198,3198,5,Spy x Family,,Yuri Briar (ユーリ・ブライア),Member Favorites: 243,https://cdn.myanimelist.net/images/characters/6/528425.jpg,"[[68, 67, 55], [222, 239, 252], [153, 154, 120], [19, 24, 27], [86, 84, 67], [157, 179, 212], [57, 55, 51], [38, 38, 35], [192, 199, 205], [243, 249, 248]]"
3199,3199,6,Spy x Family,,Franky Franklin (フランキー・フランクリン),Member Favorites: 163,https://cdn.myanimelist.net/images/characters/11/495209.jpg,"[[66, 60, 68], [212, 200, 201], [111, 109, 137], [170, 165, 174], [183, 210, 235], [68, 103, 196], [48, 46, 51], [236, 237, 236], [52, 66, 135], [85, 84, 105]]"
3200,3200,7,Spy x Family,,Henry Henderson (ヘンリー・ヘンダーソン),Member Favorites: 157,https://cdn.myanimelist.net/images/characters/6/484493.jpg,"[[214, 220, 220], [67, 70, 78], [115, 124, 142], [76, 88, 119], [159, 170, 182], [51, 49, 48], [196, 220, 234], [88, 102, 141], [190, 199, 202], [141, 152, 163]]"
3201,3201,8,Spy x Family,,Becky Blackbell (ベッキ・ブラックベル),Member Favorites: 116,https://cdn.myanimelist.net/images/characters/3/528426.jpg,"[[181, 185, 199], [78, 81, 107], [153, 128, 197], [229, 238, 251], [99, 78, 166], [63, 62, 86], [119, 187, 223], [30, 32, 47], [124, 129, 154], [49, 52, 66]]"
3202,3202,9,Spy x Family,,Sylvia Sherwood (シルヴィア・シャーウッド),Member Favorites: 93,https://cdn.myanimelist.net/images/characters/3/467192.jpg,"[[110, 121, 104], [231, 238, 247], [58, 58, 62], [106, 128, 220], [188, 204, 177], [89, 87, 160], [30, 34, 38], [162, 177, 223], [65, 73, 106], [53, 51, 50]]"
3203,3203,10,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Kaguya Shinomiya (四宮 かぐや),"Member Favorites: 26,199",https://cdn.myanimelist.net/images/characters/2/504723.jpg,"[[183, 183, 196], [41, 31, 55], [247, 247, 248], [40, 52, 170], [86, 74, 94], [142, 147, 183], [225, 238, 252], [27, 21, 29], [116, 106, 126], [62, 54, 80]]"
3204,3204,11,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Yuu Ishigami (石上 優),"Member Favorites: 21,759",https://cdn.myanimelist.net/images/characters/7/372840.jpg,"[[48, 37, 40], [213, 223, 244], [33, 21, 22], [130, 125, 130], [250, 252, 252], [162, 162, 171], [73, 57, 58], [68, 166, 111], [191, 186, 189], [96, 81, 81]]"
3205,3205,12,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Chika Fujiwara (藤原 千花),"Member Favorites: 16,035",https://cdn.myanimelist.net/images/characters/15/559031.jpg,"[[210, 204, 232], [63, 59, 71], [42, 240, 252], [125, 129, 178], [34, 29, 37], [92, 101, 139], [137, 96, 25], [243, 243, 244], [212, 228, 246], [161, 164, 192]]"
3206,3206,13,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Miyuki Shirogane (白銀 御行),"Member Favorites: 8,107",https://cdn.myanimelist.net/images/characters/16/371541.jpg,"[[81, 100, 146], [159, 206, 237], [44, 41, 61], [192, 182, 198], [222, 231, 249], [141, 148, 174], [25, 21, 33], [66, 67, 93], [138, 124, 153], [125, 181, 224]]"
3207,3207,14,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Miko Iino (伊井野 ミコ),"Member Favorites: 2,990",https://cdn.myanimelist.net/images/characters/16/376603.jpg,"[[50, 117, 248], [70, 70, 100], [227, 237, 252], [143, 146, 180], [50, 44, 56], [168, 111, 58], [184, 194, 228], [104, 104, 140], [25, 17, 25], [101, 198, 240]]"
3208,3208,15,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Ai Hayasaka (早坂 愛),"Member Favorites: 13,033",https://cdn.myanimelist.net/images/characters/8/504012.jpg,"[[208, 223, 240], [49, 48, 50], [100, 176, 202], [253, 253, 253], [133, 198, 220], [73, 108, 131], [201, 140, 86], [17, 16, 19], [162, 215, 230], [148, 158, 170]]"
3209,3209,16,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Kei Shirogane (白銀 圭),"Member Favorites: 1,055",https://cdn.myanimelist.net/images/characters/4/395331.jpg,"[[247, 245, 243], [86, 92, 115], [145, 139, 143], [59, 48, 59], [113, 80, 64], [239, 223, 217], [184, 182, 187], [109, 124, 165], [242, 187, 128], [228, 238, 250]]"
3210,3210,17,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Father Shirogane (白銀の父),Member Favorites: 849,https://cdn.myanimelist.net/images/characters/16/408120.jpg,"[[172, 187, 210], [248, 252, 253], [98, 89, 109], [144, 155, 194], [222, 242, 248], [193, 209, 228], [109, 111, 141], [79, 64, 77], [156, 168, 202], [127, 138, 166]]"
3211,3211,18,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Narrator  (ナレーション),Member Favorites: 646,,
3212,3212,19,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-,Maki Shijou (四条 眞妃),Member Favorites: 581,https://cdn.myanimelist.net/images/characters/16/409888.jpg,"[[150, 136, 157], [245, 245, 245], [52, 42, 67], [112, 82, 112], [214, 226, 246], [163, 166, 204], [64, 65, 97], [122, 112, 137], [84, 92, 115], [37, 29, 39]]"
3223,3223,30,Summertime Render,Summer Time Rendering,Shinpei Ajiro (網代 慎平),"Member Favorites: 1,103",https://cdn.myanimelist.net/images/characters/15/458467.jpg,"[[49, 44, 42], [183, 220, 248], [223, 156, 81], [247, 245, 243], [80, 69, 66], [145, 169, 211], [123, 98, 81], [212, 126, 57], [150, 140, 135], [229, 208, 172]]"
3224,3224,31,Summertime Render,Summer Time Rendering,Ushio Kofune (小舟 潮),"Member Favorites: 1,020",https://cdn.myanimelist.net/images/characters/10/431802.jpg,"[[132, 182, 205], [10, 17, 24], [187, 237, 247], [231, 191, 97], [38, 64, 86], [182, 206, 245], [219, 142, 11], [86, 116, 137], [107, 80, 25], [119, 148, 203]]"
3225,3225,32,Summertime Render,Summer Time Rendering,Hizuru Minakata (南方 ひづる),Member Favorites: 985,https://cdn.myanimelist.net/images/characters/12/474201.jpg,"[[48, 42, 48], [169, 197, 223], [106, 116, 163], [31, 27, 32], [213, 216, 222], [63, 62, 75], [136, 149, 178], [93, 104, 149], [153, 181, 212], [82, 83, 107]]"
3226,3226,33,Summertime Render,Summer Time Rendering,Mio Kofune (小舟 澪),Member Favorites: 200,https://cdn.myanimelist.net/images/characters/5/458470.jpg,"[[254, 254, 254], [68, 51, 51], [125, 157, 219], [163, 155, 156], [95, 109, 162], [234, 233, 234], [38, 30, 41], [200, 195, 198], [74, 76, 98], [126, 115, 116]]"
3227,3227,34,Summertime Render,Summer Time Rendering,Haine  (ハイネ),Member Favorites: 79,https://cdn.myanimelist.net/images/characters/2/474677.jpg,"[[254, 254, 254], [45, 32, 147], [155, 162, 176], [24, 22, 74], [227, 239, 246], [92, 91, 211], [118, 125, 141], [36, 24, 105], [191, 199, 213], [56, 78, 113]]"
3228,3228,35,Summertime Render,Summer Time Rendering,Shidehiko Hishigata (菱形 紙垂彦),Member Favorites: 43,https://cdn.myanimelist.net/images/characters/3/485469.jpg,"[[11, 7, 8], [20, 27, 30], [39, 76, 130], [79, 79, 59], [42, 54, 52], [20, 15, 15], [31, 22, 22], [37, 150, 162], [42, 34, 21], [8, 6, 6]]"
3229,3229,36,Summertime Render,Summer Time Rendering,Ryuunosuke Minakata (南方 竜之介),Member Favorites: 36,https://cdn.myanimelist.net/images/characters/7/480195.jpg,"[[254, 254, 254], [83, 84, 95], [211, 179, 170], [147, 159, 201], [121, 123, 135], [29, 28, 42], [193, 215, 240], [238, 238, 237], [55, 49, 55], [184, 149, 149]]"
3230,3230,37,Summertime Render,Summer Time Rendering,Ginjirou Nezu (根津 銀次郎),Member Favorites: 33,https://cdn.myanimelist.net/images/characters/16/466441.jpg,"[[254, 254, 254], [124, 72, 45], [60, 152, 173], [40, 36, 51], [66, 76, 184], [228, 230, 232], [69, 77, 114], [116, 133, 172], [87, 204, 229], [179, 180, 188]]"
3231,3231,38,Summertime Render,Summer Time Rendering,Tokiko Hishigata (菱形 朱鷺子),Member Favorites: 31,https://cdn.myanimelist.net/images/characters/9/466437.jpg,"[[253, 253, 253], [117, 119, 170], [85, 48, 61], [160, 165, 204], [130, 131, 214], [63, 61, 109], [203, 222, 251], [35, 32, 67], [126, 64, 74], [89, 85, 141]]"
3232,3232,39,Summertime Render,Summer Time Rendering,Sou Hishigata (菱形 窓),Member Favorites: 20,https://cdn.myanimelist.net/images/characters/10/466436.jpg,"[[254, 254, 254], [42, 58, 97], [134, 150, 194], [171, 201, 241], [84, 127, 185], [67, 59, 56], [33, 35, 50], [101, 117, 149], [68, 86, 125], [205, 211, 224]]"
3243,3243,50,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Shouko Komi (古見 硝子),"Member Favorites: 9,639",https://cdn.myanimelist.net/images/characters/5/354941.jpg,"[[230, 234, 246], [75, 30, 42], [25, 11, 22], [148, 145, 165], [107, 102, 115], [195, 203, 243], [41, 28, 51], [177, 176, 205], [68, 64, 62], [54, 17, 24]]"
3244,3244,51,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Hitohito Tadano (只野 仁人),"Member Favorites: 2,234",https://cdn.myanimelist.net/images/characters/5/451438.jpg,"[[253, 253, 253], [124, 82, 83], [55, 52, 56], [187, 190, 204], [117, 117, 122], [207, 224, 246], [84, 63, 131], [82, 54, 59], [153, 154, 162], [95, 75, 79]]"
3245,3245,52,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Najimi Osana (長名 なじみ),"Member Favorites: 1,895",https://cdn.myanimelist.net/images/characters/4/450832.jpg,"[[254, 254, 254], [127, 81, 83], [214, 200, 220], [81, 57, 62], [132, 122, 138], [235, 236, 244], [94, 91, 98], [165, 162, 196], [53, 39, 43], [82, 53, 119]]"
3246,3246,53,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Kaede Otori (尾鶏 楓),Member Favorites: 378,https://cdn.myanimelist.net/images/characters/2/455023.jpg,"[[254, 254, 253], [120, 86, 90], [74, 52, 61], [157, 159, 183], [211, 224, 244], [17, 17, 31], [75, 72, 78], [48, 41, 49], [108, 105, 122], [124, 80, 81]]"
3247,3247,54,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Shousuke Komi (古見 笑介),Member Favorites: 261,https://cdn.myanimelist.net/images/characters/3/453352.jpg,"[[254, 254, 254], [82, 78, 78], [69, 55, 66], [223, 234, 250], [104, 93, 104], [165, 167, 176], [38, 34, 44], [193, 198, 215], [128, 129, 139], [55, 47, 56]]"
3248,3248,55,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Nene Onemine (尾根峰 ねね),Member Favorites: 243,https://cdn.myanimelist.net/images/characters/15/486159.jpg,"[[197, 169, 175], [38, 48, 75], [201, 222, 249], [40, 7, 35], [102, 115, 142], [97, 38, 55], [254, 252, 253], [145, 164, 202], [12, 17, 39], [39, 6, 91]]"
3249,3249,56,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Omoharu Nakanaka (中々 思春),Member Favorites: 199,https://cdn.myanimelist.net/images/characters/12/451436.jpg,"[[254, 254, 254], [82, 73, 77], [196, 185, 190], [119, 109, 114], [47, 41, 46], [151, 149, 157], [217, 227, 242], [83, 59, 125], [243, 241, 241], [68, 56, 63]]"
3250,3250,57,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Chuusaku  Kometani (米谷 忠釈),Member Favorites: 172,https://cdn.myanimelist.net/images/characters/2/467040.jpg,"[[224, 222, 225], [82, 59, 69], [253, 253, 253], [124, 81, 82], [59, 53, 57], [166, 177, 196], [116, 113, 119], [38, 36, 50], [205, 226, 250], [82, 57, 136]]"
3251,3251,58,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Makoto Katai (片居 誠),Member Favorites: 165,https://cdn.myanimelist.net/images/characters/15/467039.jpg,"[[254, 254, 254], [124, 81, 82], [167, 201, 242], [36, 30, 32], [118, 200, 228], [124, 156, 186], [97, 115, 129], [199, 187, 187], [73, 61, 65], [242, 240, 240]]"
3252,3252,59,"Komi-san wa, Comyushou desu. 2nd Season",Komi Can't Communicate Season 2,Shuuko Komi (古見 秀子),Member Favorites: 121,https://cdn.myanimelist.net/images/characters/10/454412.jpg,"[[254, 254, 254], [101, 88, 77], [72, 56, 68], [179, 185, 211], [230, 243, 243], [47, 41, 53], [110, 98, 110], [141, 145, 163], [220, 227, 247], [25, 27, 39]]"
3303,3303,110,Paripi Koumei,Ya Boy Kongming!,Eiko Tsukimi (月見 英子),Member Favorites: 994,https://cdn.myanimelist.net/images/characters/15/562726.jpg,"[[184, 231, 249], [86, 59, 64], [100, 110, 148], [253, 251, 245], [119, 167, 225], [134, 71, 66], [224, 240, 253], [249, 170, 250], [51, 35, 43], [199, 188, 179]]"
3304,3304,111,Paripi Koumei,Ya Boy Kongming!,Kongming Zhuge (諸葛 孔明),Member Favorites: 732,https://cdn.myanimelist.net/images/characters/2/562728.jpg,"[[113, 142, 173], [60, 73, 81], [188, 228, 249], [142, 123, 64], [33, 42, 41], [94, 86, 42], [131, 187, 218], [180, 181, 130], [74, 94, 119], [231, 245, 244]]"
3305,3305,112,Paripi Koumei,Ya Boy Kongming!,Kabe Taijin  (KABE太人),Member Favorites: 84,https://cdn.myanimelist.net/images/characters/12/468194.jpg,"[[39, 36, 40], [202, 187, 170], [253, 254, 254], [96, 83, 75], [208, 231, 248], [165, 148, 130], [145, 201, 214], [74, 66, 68], [125, 119, 114], [84, 78, 148]]"
3306,3306,113,Paripi Koumei,Ya Boy Kongming!,Nanami Kuon (久遠七海),Member Favorites: 59,https://cdn.myanimelist.net/images/characters/8/468195.jpg,"[[254, 254, 254], [83, 62, 82], [173, 167, 206], [148, 135, 136], [54, 40, 51], [79, 93, 226], [58, 209, 228], [166, 174, 52], [206, 226, 248], [108, 110, 75]]"
3307,3307,114,Paripi Koumei,Ya Boy Kongming!,Owner Kobayashi  (オーナー小林),Member Favorites: 27,https://cdn.myanimelist.net/images/characters/10/468193.jpg,"[[254, 254, 254], [86, 64, 67], [163, 200, 214], [61, 42, 44], [192, 223, 250], [108, 124, 139], [97, 74, 77], [71, 67, 110], [137, 166, 188], [36, 27, 32]]"
3308,3308,115,Paripi Koumei,Ya Boy Kongming!,Eiko's Fan  ,Member Favorites: 5,https://cdn.myanimelist.net/images/characters/10/476015.jpg,"[[27, 58, 83], [173, 166, 147], [84, 108, 86], [215, 203, 196], [49, 54, 47], [112, 79, 146], [183, 180, 198], [31, 34, 44], [58, 72, 65], [131, 132, 158]]"
3309,3309,116,Paripi Koumei,Ya Boy Kongming!,DJ Satori  ,Member Favorites: 4,https://cdn.myanimelist.net/images/characters/2/514566.jpg,"[[146, 188, 205], [71, 84, 116], [181, 216, 231], [127, 114, 112], [69, 112, 179], [35, 41, 52], [111, 147, 168], [49, 61, 85], [92, 112, 140], [155, 144, 145]]"
3310,3310,117,Paripi Koumei,Ya Boy Kongming!,Steve Kido (スティーブ・キド　),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/15/476006.jpg,"[[168, 186, 195], [25, 33, 49], [83, 122, 177], [191, 209, 220], [61, 78, 96], [151, 169, 181], [102, 153, 213], [47, 82, 144], [92, 111, 127], [122, 141, 154]]"
3311,3311,118,Paripi Koumei,Ya Boy Kongming!,Mia Iriomote (ミア 西表),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/14/471269.jpg,"[[48, 50, 60], [175, 202, 237], [160, 170, 192], [21, 21, 25], [58, 62, 76], [186, 212, 245], [103, 109, 128], [100, 71, 207], [36, 36, 40], [113, 140, 199]]"
3312,3312,119,Paripi Koumei,Ya Boy Kongming!,Kung Fu Sekitoba (赤兎馬 カンフー),Member Favorites: 3,https://cdn.myanimelist.net/images/characters/10/472793.jpg,"[[90, 108, 131], [66, 54, 55], [108, 137, 167], [45, 35, 40], [102, 59, 63], [73, 85, 109], [114, 145, 175], [52, 59, 78], [134, 140, 141], [18, 17, 32]]"
3353,3353,160,Ao Ashi,,Ashito Aoi (青井 葦人),Member Favorites: 711,https://cdn.myanimelist.net/images/characters/6/457597.jpg,"[[1, 1, 2], [95, 217, 251], [39, 57, 80], [146, 177, 199], [76, 104, 128], [180, 218, 248], [29, 32, 37], [235, 237, 239], [86, 134, 179], [21, 122, 169]]"
3354,3354,161,Ao Ashi,,Hana Ichijou (一条 花),Member Favorites: 312,https://cdn.myanimelist.net/images/characters/5/488829.jpg,"[[192, 206, 221], [57, 77, 101], [219, 225, 234], [123, 136, 161], [224, 202, 161], [73, 66, 47], [140, 122, 83], [147, 166, 188], [175, 160, 129], [92, 108, 130]]"
3355,3355,162,Ao Ashi,,Tatsuya Fukuda (福田 達也),Member Favorites: 91,https://cdn.myanimelist.net/images/characters/15/457600.jpg,"[[0, 0, 0], [138, 174, 211], [61, 58, 57], [84, 128, 186], [44, 42, 41], [129, 132, 139], [170, 212, 249], [25, 24, 24], [74, 92, 115], [53, 50, 49]]"
3356,3356,163,Ao Ashi,,Nagisa Akutsu (阿久津渚),Member Favorites: 129,https://cdn.myanimelist.net/images/characters/9/465615.jpg,"[[0, 0, 0], [98, 218, 251], [67, 98, 117], [232, 234, 234], [163, 204, 241], [56, 53, 50], [22, 123, 169], [71, 131, 177], [135, 156, 177], [28, 25, 23]]"
3357,3357,164,Ao Ashi,,Eisaku Ootomo (大友 栄作),Member Favorites: 41,https://cdn.myanimelist.net/images/characters/12/484636.jpg,"[[116, 137, 162], [225, 216, 205], [92, 105, 96], [159, 139, 161], [120, 125, 122], [172, 197, 223], [130, 186, 111], [193, 148, 117], [190, 196, 171], [73, 65, 65]]"
3358,3358,165,Ao Ashi,,Keiji Togashi (冨樫 慶司),Member Favorites: 31,https://cdn.myanimelist.net/images/characters/11/485386.jpg,"[[173, 200, 220], [88, 80, 72], [109, 131, 159], [151, 108, 82], [59, 52, 45], [93, 104, 104], [147, 167, 180], [113, 130, 125], [66, 73, 64], [98, 70, 52]]"
3359,3359,166,Ao Ashi,,Marchis Jun Asari (朝利 マーチス 淳),Member Favorites: 30,https://cdn.myanimelist.net/images/characters/2/485378.jpg,"[[95, 131, 162], [165, 214, 235], [33, 35, 36], [184, 178, 155], [206, 230, 247], [68, 92, 115], [128, 158, 196], [110, 219, 250], [152, 188, 214], [58, 58, 58]]"
3360,3360,167,Ao Ashi,,Haruhisa Kuribayashi (栗林 晴久),Member Favorites: 22,https://cdn.myanimelist.net/images/characters/12/485384.jpg,"[[194, 224, 248], [86, 97, 99], [56, 60, 56], [123, 225, 250], [128, 153, 175], [237, 240, 240], [27, 31, 28], [98, 124, 150], [189, 152, 107], [173, 196, 215]]"
3361,3361,168,Ao Ashi,,Noriko Aoi (青井 紀子),Member Favorites: 20,https://cdn.myanimelist.net/images/characters/12/468002.jpg,"[[0, 0, 0], [108, 102, 105], [192, 218, 246], [48, 51, 56], [111, 152, 197], [28, 31, 34], [44, 48, 173], [69, 65, 67], [14, 15, 17], [86, 85, 91]]"
3362,3362,169,Ao Ashi,,Anri Kaidou (海堂 杏里),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/10/465622.jpg,"[[70, 56, 50], [206, 222, 240], [154, 141, 127], [0, 0, 0], [33, 24, 25], [119, 109, 104], [94, 76, 71], [44, 60, 126], [168, 182, 199], [96, 126, 167]]"
3373,3373,180,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Myne  (マイン),"Member Favorites: 1,729",https://cdn.myanimelist.net/images/characters/4/395079.jpg,"[[173, 115, 51], [144, 179, 207], [44, 78, 101], [233, 244, 250], [113, 69, 22], [42, 111, 177], [102, 121, 144], [74, 182, 230], [41, 42, 42], [190, 215, 242]]"
3374,3374,181,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Ferdinand  (フェルディナンド),Member Favorites: 372,https://cdn.myanimelist.net/images/characters/4/414949.jpg,"[[194, 189, 177], [143, 90, 33], [185, 163, 103], [46, 126, 142], [253, 251, 252], [207, 190, 139], [204, 209, 215], [89, 60, 52], [162, 155, 151], [155, 131, 90]]"
3375,3375,182,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Benno  (ベンノ),Member Favorites: 231,https://cdn.myanimelist.net/images/characters/9/395080.jpg,"[[129, 153, 196], [202, 214, 240], [41, 57, 97], [149, 103, 61], [164, 189, 229], [110, 126, 157], [190, 177, 173], [238, 240, 246], [69, 85, 129], [26, 34, 59]]"
3376,3376,183,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Lutz  (ルッツ),Member Favorites: 67,https://cdn.myanimelist.net/images/characters/12/400092.jpg,"[[253, 254, 254], [116, 146, 153], [30, 208, 252], [47, 42, 40], [190, 214, 248], [168, 188, 197], [35, 151, 196], [226, 233, 234], [127, 236, 252], [115, 81, 78]]"
3377,3377,184,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Sylvester  (ジルヴェスター),Member Favorites: 21,https://cdn.myanimelist.net/images/characters/13/491023.jpg,"[[152, 72, 77], [202, 220, 245], [231, 198, 105], [240, 239, 235], [169, 172, 178], [103, 58, 58], [104, 193, 211], [223, 217, 200], [117, 121, 118], [183, 108, 39]]"
3378,3378,185,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,Ascendance of a Bookworm Season 3,Tuuli  (トゥーリ),Member Favorites: 17,https://cdn.myanimelist.net/images/characters/3/400094.jpg,"[[253, 254, 254], [127, 188, 224], [165, 176, 28], [116, 151, 173], [198, 218, 244], [193, 209, 127], [118, 121, 29], [90, 150, 232], [56, 80, 99], [74, 115, 172]]"
